district_code,district_name,state_code,state_name,complex_code,court_name,est_code,cino,case_no,fil_no,fil_year,reg_no,reg_year,type_name,date_of_decision,date_of_filing,dt_regis,disp_name,disp_nature
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010007072018,209400000162018,9916,2018,16,2018,Spl. POCSO Act.,2018-09-05,2018-05-03,2018-05-03,Disposed,61
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010004892014,200300002972014,0,0   ,297,2014,Bail 438,2014-05-22,2014-05-02,2014-05-02,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010005362015,206800003962015,0,0   ,396,2015,Bail 439,2015-06-20,2015-06-06,2015-06-06,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010010702017,200300006862017,9686,2017,686,2017,Bail 438,2017-08-22,2017-08-08,2017-08-08,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010019932019,200300010662019,1066,2019,1066,2019,Bail 438,2019-12-03,2019-11-04,2019-11-04,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010011472015,206800008362015,0,0   ,836,2015,Bail 439,2015-10-17,2015-09-21,2015-09-21,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010010172015,200300007382015,0,0   ,738,2015,Bail 438,2015-09-28,2015-08-31,2015-08-31,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010006312015,206800004642015,0,0   ,464,2015,Bail 439,2015-07-13,2015-06-30,2015-06-30,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010020772019,200300011122019,1112,2019,1112,2019,Bail 438,2019-12-03,2019-11-16,2019-11-16,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010009322015,200300006802015,0,0   ,680,2015,Bail 438,2015-09-04,2015-08-17,2015-08-17,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010011182017,200300007112017,9711,2017,711,2017,Bail 438,2017-09-16,2017-08-16,2017-08-16,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010020762019,200300011112019,1111,2019,1111,2019,Bail 438,2019-12-03,2019-11-16,2019-11-16,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010009892014,200300006052014,0,0   ,605,2014,Bail 438,2014-08-26,2014-08-13,2014-08-13,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010010742015,206800007832015,0,0   ,783,2015,Bail 439,2015-09-29,2015-09-10,2015-09-10,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010006182019,200300003362019,336,2019,336,2019,Bail 438,2019-04-18,2019-04-06,2019-04-06,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010016492019,209400001482019,99148,2019,148,2019,Spl. POCSO Act.,2020-01-08,2019-09-06,2019-09-06,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010012432015,206800009122015,0,0   ,912,2015,Bail 439,2015-10-16,2015-10-08,2015-10-08,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010003072016,200300002152016,0,0   ,215,2016,Bail 438,2016-04-28,2016-03-30,2016-03-30,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010005292016,200300003762016,376,2016,376,2016,Bail 438,2016-06-28,2016-05-25,2016-05-25,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010007982019,200300004332019,433,2019,433,2019,Bail 438,2019-05-17,2019-05-06,2019-05-06,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010014742019,209100000172019,99917,2019,17,2019,Criminal Misc(j),2020-01-08,2019-08-07,2019-08-07,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010004142014,200300002492014,0,0   ,249,2014,Bail 438,2014-04-29,2014-04-09,2014-04-09,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010014152015,206800010552015,0,0   ,1055,2015,Bail 439,2015-12-01,2015-11-16,2015-11-16,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010010332016,200300006722016,672,2016,672,2016,Bail 438,2016-08-23,2016-08-12,2016-08-12,Disposed of,30
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010014872014,200300009092014,0,0   ,909,2014,Bail 438,2015-01-20,2014-12-19,2014-12-19,Rejected,17
20,Barpeta,6,Assam,102,District and Sessions Judge,ASBR01,ASBR010007792019,200300004232019,423,2019,423,2019,Bail 438,2019-05-27,2019-05-04,2019-05-04,Disposed of,30
