cino,date_of_decision,dt_regis,reg_year_date,case_age_days,case_age_months,case_age_years
DLCT010092342019,NA,12/07/2019,2018,263,8.8 ,0.72 
DLCT010002282019,NA,05/01/2019,2019,451,15.0 ,1.24 
DLCT010053252016,11/05/2017,08/02/2016,2019,458,15.3 ,1.25 
DLCT010006552014,30/03/2019,31/01/2014,2016,1884,62.8 ,5.16 
DLCT010114212019,NA,23/08/2019,2017,221,7.4 ,0.61 
DLCT010162582017,20/07/2019,02/11/2017,2017,625,20.8 ,1.71 
DLCT010020242015,NA,01/09/2015,2017,1673,55.8 ,4.58 
DLCT010172372019,NA,23/12/2019,2017,99,3.3 ,0.27 
DLCT010170502016,NA,30/11/2016,2019,1217,40.6 ,3.33 
DLCT010120422016,NA,05/09/2016,2019,1303,43.4 ,3.57 
DLCT010171782017,NA,09/10/2017,2017,904,30.1 ,2.48 
DLCT010138182019,NA,09/10/2019,2017,174,5.8 ,0.48 
DLCT010162972019,NA,06/12/2019,2016,116,3.9 ,0.32 
DLCT010153892017,NA,23/10/2017,2018,890,29.7 ,2.44 
DLCT010016092014,06/12/2019,23/07/2014,2020,1962,65.4 ,5.38 
DLCT010018652015,NA,01/07/2015,2018,1735,57.8 ,4.75 
DLCT010103022014,30/01/2016,17/05/2014,2018,623,20.8 ,1.71 
DLCT010116212017,NA,10/08/2017,2017,964,32.1 ,2.64 
DLCT010102132015,11/01/2016,08/05/2015,2018,248,8.3 ,0.68 
DLCT010162842019,NA,06/12/2019,2017,116,3.9 ,0.32 
DLCT010053002016,NA,23/05/2016,2017,1408,46.9 ,3.86 
DLCT010134742019,NA,28/09/2019,2019,185,6.2 ,0.51 
DLCT010118982018,NA,13/09/2018,2018,565,18.8 ,1.55 
DLCT010080962018,NA,08/06/2018,2017,662,22.1 ,1.81 
DLCT010011362013,23/12/2017,01/07/2013,2017,1636,54.5 ,4.48 
DLCT010029662019,NA,08/03/2019,2017,389,13.0 ,1.07 
DLCT010138532016,06/06/2019,04/10/2016,2019,975,32.5 ,2.67 
DLCT010147072016,26/05/2018,21/10/2016,2019,582,19.4 ,1.59 
DLCT010020112017,NA,06/02/2017,2018,1149,38.3 ,3.15 
DLCT010035832018,NA,16/03/2018,2019,746,24.9 ,2.04 
DLCT010147652018,NA,02/11/2018,2019,515,17.2 ,1.41 
DLCT010079912018,NA,07/06/2018,2016,663,22.1 ,1.82 
DLCT010138402019,NA,09/10/2019,2018,174,5.8 ,0.48 
DLCT010015602016,NA,06/02/2016,2018,1515,50.5 ,4.15 
DLCT010015272014,21/05/2018,14/11/2014,2016,1284,42.8 ,3.52 
DLCT010102142015,23/01/2016,28/11/2015,2019,56,1.9 ,0.15 
DLCT010106302015,29/02/2016,20/04/2015,2019,315,10.5 ,0.86 
DLCT010137832019,NA,04/10/2019,2018,179,6.0 ,0.49 
DLCT010032722015,25/10/2017,20/10/2015,2018,736,24.5 ,2.02 
DLCT010096192013,11/12/2014,11/11/2013,2019,395,13.2 ,1.08 
DLCT010077932017,02/04/2019,20/05/2017,2019,682,22.7 ,1.87 
DLCT010112482018,05/09/2019,30/08/2018,2019,371,12.4 ,1.02 
DLCT010027002014,29/07/2016,19/05/2014,2019,802,26.7 ,2.20 
DLCT010028922015,09/07/2016,06/05/2015,2019,430,14.3 ,1.18 
DLCT010017752016,NA,22/03/2016,2017,1470,49.0 ,4.03 
DLCT010133592017,NA,13/09/2017,2019,930,31.0 ,2.55 
DLCT010060562017,NA,19/04/2017,2019,1077,35.9 ,2.95 
DLCT010182182017,NA,07/12/2017,2017,845,28.2 ,2.32 
DLCT010006522013,21/10/2019,20/11/2013,2018,2161,72.0 ,5.92 
DLCT010157882018,11/02/2019,26/11/2018,2018,77,2.6 ,0.21 
DLCT010011432013,17/07/2019,01/07/2013,2016,2207,73.6 ,6.05 
DLCT010189202017,NA,20/12/2017,2017,832,27.7 ,2.28 
DLCT010008232016,NA,01/06/2016,2019,1399,46.6 ,3.83 
DLCT010072062017,19/03/2018,11/05/2017,2019,312,10.4 ,0.85 
DLCT010063262017,NA,25/04/2017,2019,1071,35.7 ,2.93 
DLCT010153772017,NA,23/10/2017,2019,890,29.7 ,2.44 
DLCT010057552017,NA,13/04/2017,2019,1083,36.1 ,2.97 
DLCT010002192013,21/02/2019,11/11/2013,2018,1928,64.3 ,5.28 
DLCT010131792019,NA,26/09/2019,2019,187,6.2 ,0.51 
DLCT010046862016,NA,05/03/2016,2018,1487,49.6 ,4.07 
DLCT010052992018,NA,18/04/2018,2018,713,23.8 ,1.95 
DLCT010140212016,NA,06/10/2016,2017,1272,42.4 ,3.48 
DLCT010079652013,28/03/2014,08/07/2013,2016,263,8.8 ,0.72 
DLCT010048952016,23/05/2018,17/05/2016,2016,736,24.5 ,2.02 
DLCT010029962016,NA,07/01/2016,2019,1545,51.5 ,4.23 
DLCT010050512015,05/09/2016,19/10/2015,2019,322,10.7 ,0.88 
DLCT010165222019,NA,09/12/2019,2017,113,3.8 ,0.31 
DLCT010148822017,NA,12/10/2017,2018,901,30.0 ,2.47 
DLCT010006272014,31/10/2017,29/08/2014,2018,1159,38.6 ,3.18 
DLCT010040632019,NA,26/03/2019,2017,371,12.4 ,1.02 
DLCT010009382020,NA,21/01/2020,2018,70,2.3 ,0.19 
DLCT010075412013,03/02/2014,05/08/2013,2018,182,6.1 ,0.50 
DLCT010060482019,NA,03/05/2019,2018,333,11.1 ,0.91 
DLCT010048172015,20/08/2019,17/12/2015,2018,1342,44.7 ,3.68 
DLCT010005642018,NA,11/01/2018,2018,810,27.0 ,2.22 
DLCT010091972016,02/05/2018,25/07/2016,2019,646,21.5 ,1.77 
DLCT010025022016,12/12/2019,27/02/2016,2018,1384,46.1 ,3.79 
DLCT010188612017,NA,19/12/2017,2019,833,27.8 ,2.28 
DLCT010016502017,18/05/2018,01/02/2017,2018,471,15.7 ,1.29 
DLCT010096352018,16/01/2019,25/07/2018,2019,175,5.8 ,0.48 
DLCT010151682016,NA,28/10/2016,2018,1250,41.7 ,3.42 
DLCT010019942015,08/04/2019,13/07/2015,2020,1365,45.5 ,3.74 
DLCT010081672017,NA,25/05/2017,2019,1041,34.7 ,2.85 
DLCT010173212018,NA,20/12/2018,2016,467,15.6 ,1.28 
DLCT010070442019,NA,22/05/2019,2018,314,10.5 ,0.86 
DLCT010098542018,NA,30/07/2018,2018,610,20.3 ,1.67 
DLCT010140812016,NA,07/10/2016,2018,1271,42.4 ,3.48 
DLCT010050952019,NA,16/04/2019,2018,350,11.7 ,0.96 
DLCT010085572013,21/05/2014,29/05/2013,2018,357,11.9 ,0.98 
DLCT010073582018,NA,29/05/2018,2018,672,22.4 ,1.84 
DLCT010083192019,NA,01/07/2019,2015,274,9.1 ,0.75 
DLCT010120702019,NA,05/09/2019,2015,208,6.9 ,0.57 
DLCT010166152018,NA,07/12/2018,2017,480,16.0 ,1.32 
DLCT010047022015,NA,09/07/2015,2015,1727,57.6 ,4.73 
DLCT010053732018,NA,19/04/2018,2016,712,23.7 ,1.95 
DLCT010002832015,02/09/2019,02/12/2015,2016,1370,45.7 ,3.75 
DLCT010098542017,NA,07/07/2017,2016,998,33.3 ,2.73 
DLCT010013582014,NA,31/10/2014,2015,1978,65.9 ,5.42 
DLCT010136742019,NA,03/10/2019,2018,180,6.0 ,0.49 
DLCT010118282018,NA,12/09/2018,2015,566,18.9 ,1.55 
DLCT010008492014,04/04/2019,20/03/2014,2019,1841,61.4 ,5.04 
DLCT010005612013,09/08/2017,27/05/2013,2015,1535,51.2 ,4.21 
DLCT010057222016,11/10/2018,18/04/2016,2018,906,30.2 ,2.48 
DLCT010065052018,NA,14/05/2018,2019,687,22.9 ,1.88 
DLCT010073102013,20/02/2014,30/04/2013,2015,296,9.9 ,0.81 
DLCT010049872013,29/08/2013,29/08/2013,2015,0,0.0 ,0.00 
DLCT010144182016,14/12/2018,17/10/2016,2015,788,26.3 ,2.16 
DLCT010144362016,07/09/2019,17/10/2016,2015,1055,35.2 ,2.89 
DLCT010106552019,NA,07/08/2019,2015,237,7.9 ,0.65 
DLCT010115242017,01/02/2019,09/08/2017,2015,541,18.0 ,1.48 
DLCT010003162015,NA,23/11/2015,2015,1590,53.0 ,4.36 
DLCT010125222016,05/06/2018,14/09/2016,2014,629,21.0 ,1.72 
DLCT010047892015,NA,20/11/2015,2015,1593,53.1 ,4.36 
DLCT010187662017,NA,16/12/2017,2015,836,27.9 ,2.29 
DLCT010134792019,NA,28/09/2019,2015,185,6.2 ,0.51 
DLCT010068962018,06/03/2020,22/05/2018,2016,654,21.8 ,1.79 
DLCT010007152018,NA,15/01/2018,2015,806,26.9 ,2.21 
DLCT010111202019,NA,17/08/2019,2015,227,7.6 ,0.62 
DLCT010162042016,NA,18/11/2016,2016,1229,41.0 ,3.37 
DLCT010163672019,NA,07/12/2019,2015,115,3.8 ,0.32 
DLCT010132912017,NA,12/09/2017,2015,931,31.0 ,2.55 
DLCT010079102019,NA,06/06/2019,2015,299,10.0 ,0.82 
DLCT010147542017,31/01/2019,10/10/2017,2015,478,15.9 ,1.31 
DLCT010031182020,NA,04/03/2020,2015,27,0.9 ,0.07 
DLCT010001722013,NA,10/06/2013,2020,2486,82.9 ,6.81 
DLCT010171812018,NA,18/12/2018,2015,469,15.6 ,1.28 
DLCT010007372016,06/04/2017,09/02/2016,2015,422,14.1 ,1.16 
DLCT010069712017,NA,05/05/2017,2016,1061,35.4 ,2.91 
DLCT010100092013,30/04/2015,02/07/2013,2015,667,22.2 ,1.83 
DLCT010141632016,NA,08/10/2016,2015,1270,42.3 ,3.48 
DLCT010009402018,28/03/2018,19/01/2018,2016,68,2.3 ,0.19 
DLCT010006522015,31/05/2018,19/09/2015,2013,985,32.8 ,2.70 
DLCT010092762019,NA,15/07/2019,2020,260,8.7 ,0.71 
DLCT010127872017,NA,01/09/2017,2015,942,31.4 ,2.58 
DLCT010048182015,NA,17/12/2015,2015,1566,52.2 ,4.29 
DLCT010151772016,NA,28/10/2016,2015,1250,41.7 ,3.42 
DLCT010066222015,18/08/2015,19/05/2015,2016,91,3.0 ,0.25 
DLCT010154542016,NA,05/11/2016,2015,1242,41.4 ,3.40 
DLCT010182602017,16/02/2018,08/12/2017,2013,70,2.3 ,0.19 
DLCT010091742016,NA,25/07/2016,2016,1345,44.8 ,3.68 
DLCT010027272018,NA,24/02/2018,2015,766,25.5 ,2.10 
DLCT010009882013,03/04/2018,04/06/2013,2016,1764,58.8 ,4.83 
DLCT010054352017,09/08/2019,06/04/2017,2016,855,28.5 ,2.34 
DLCT010084362016,NA,14/07/2016,2015,1356,45.2 ,3.72 
DLCT010085782016,NA,15/07/2016,2015,1355,45.2 ,3.71 
DLCT010002072016,NA,29/04/2016,2015,1432,47.7 ,3.92 
DLCT010020272015,NA,02/06/2015,2015,1764,58.8 ,4.83 
DLCT010072902013,15/02/2014,18/11/2013,2015,89,3.0 ,0.24 
DLCT010105532019,NA,05/08/2019,2016,239,8.0 ,0.65 
DLCT010171612017,28/02/2018,17/11/2017,2020,103,3.4 ,0.28 
DLCT010101062019,NA,29/07/2019,2015,246,8.2 ,0.67 
DLCT010073222019,NA,28/05/2019,2015,308,10.3 ,0.84 
DLCT010157892018,NA,26/11/2018,2015,491,16.4 ,1.35 
DLCT010077782013,07/04/2014,11/07/2013,2015,270,9.0 ,0.74 
DLCT010135062018,NA,15/10/2018,2016,533,17.8 ,1.46 
DLCT010154872017,23/08/2019,24/10/2017,2015,668,22.3 ,1.83 
DLCT010013182015,05/01/2017,13/03/2015,2015,664,22.1 ,1.82 
DLCT010030272018,NA,01/03/2018,2015,761,25.4 ,2.08 
DLCT010033992015,NA,14/07/2015,2015,1722,57.4 ,4.72 
DLCT010129692017,NA,05/09/2017,2015,938,31.3 ,2.57 
DLCT010128682017,NA,04/09/2017,2015,939,31.3 ,2.57 
DLCT010090882018,NA,13/07/2018,2015,627,20.9 ,1.72 
DLCT010149852017,30/07/2018,14/11/2017,2016,258,8.6 ,0.71 
DLCT010007362016,NA,09/02/2016,2016,1512,50.4 ,4.14 
DLCT010025232018,NA,20/02/2018,2016,770,25.7 ,2.11 
DLCT010022652014,28/04/2018,05/03/2014,2015,1515,50.5 ,4.15 
DLCT010167622016,NA,25/11/2016,2016,1222,40.7 ,3.35 
DLCT010095952016,01/05/2019,01/08/2016,2015,1003,33.4 ,2.75 
DLCT010000132013,04/08/2018,03/08/2013,2013,1827,60.9 ,5.01 
DLCT010137752018,NA,20/10/2018,2019,528,17.6 ,1.45 
DLCT010052882016,NA,20/02/2016,2016,1501,50.0 ,4.11 
DLCT010087402013,14/07/2014,01/07/2013,2015,378,12.6 ,1.04 
DLCT010042422017,NA,16/03/2017,2018,1111,37.0 ,3.04 
DLCT010052892016,NA,19/02/2016,2016,1502,50.1 ,4.12 
DLCT010007962017,14/05/2019,16/01/2017,2016,848,28.3 ,2.32 
DLCT010005012014,23/11/2019,13/03/2014,2016,2081,69.4 ,5.70 
DLCT010124142018,NA,24/09/2018,2019,554,18.5 ,1.52 
DLCT010104022013,30/09/2015,05/07/2013,2019,817,27.2 ,2.24 
DLCT010059712016,27/01/2016,27/01/2016,2015,0,0.0 ,0.00 
DLCT010040292016,NA,24/02/2016,2018,1497,49.9 ,4.10 
DLCT010007362015,NA,13/07/2015,2015,1723,57.4 ,4.72 
DLCT010001072013,23/09/2016,31/07/2013,2015,1150,38.3 ,3.15 
DLCT010147292016,28/11/2019,21/10/2016,2015,1133,37.8 ,3.10 
DLCT010056182016,09/10/2019,17/03/2016,2015,1301,43.4 ,3.56 
DLCT010166622019,NA,13/12/2019,2020,109,3.6 ,0.30 
DLCT010129512017,NA,05/09/2017,2019,938,31.3 ,2.57 
DLCT010066332018,15/04/2019,16/05/2018,2015,334,11.1 ,0.92 
DLCT010134472016,NA,28/09/2016,2015,1280,42.7 ,3.51 
DLCT010078402016,NA,01/07/2016,2015,1369,45.6 ,3.75 
DLCT010009112014,15/11/2017,01/03/2014,2020,1355,45.2 ,3.71 
DLCT010010192014,24/02/2020,18/12/2014,2015,1894,63.1 ,5.19 
DLCT010145482017,NA,07/10/2017,2015,906,30.2 ,2.48 
DLCT010044912015,NA,09/11/2015,2015,1604,53.5 ,4.39 
DLCT010092692013,01/09/2014,29/10/2013,2015,307,10.2 ,0.84 
DLCT010173912018,NA,21/12/2018,2020,466,15.5 ,1.28 
DLCT010115682015,23/05/2016,01/04/2015,2018,418,13.9 ,1.15 
DLCT010115992018,NA,07/09/2018,2018,571,19.0 ,1.56 
DLCT010120432016,NA,06/09/2016,2015,1302,43.4 ,3.57 
DLCT010108112019,13/09/2019,08/08/2019,2015,36,1.2 ,0.10 
DLCT010053182019,NA,22/04/2019,2015,344,11.5 ,0.94 
DLCT010005732016,NA,30/01/2016,2020,1522,50.7 ,4.17 
DLCT010021292016,NA,02/04/2016,2015,1459,48.6 ,4.00 
DLCT010083232013,17/05/2014,21/05/2013,2015,361,12.0 ,0.99 
DLCT010022242016,NA,01/04/2016,2015,1460,48.7 ,4.00 
DLCT010010762014,12/07/2018,05/02/2014,2020,1618,53.9 ,4.43 
DLCT010103242017,05/12/2019,17/07/2017,2015,871,29.0 ,2.39 
DLCT010001562015,10/10/2018,16/11/2015,2015,1059,35.3 ,2.90 
DLCT010077372016,17/11/2018,08/07/2016,2015,862,28.7 ,2.36 
DLCT010128002019,21/11/2019,18/09/2019,2018,64,2.1 ,0.18 
DLCT010050502014,12/05/2014,12/05/2014,2020,0,0.0 ,0.00 
DLCT010094762013,03/11/2014,01/08/2013,2016,459,15.3 ,1.26 
DLCT010015032019,NA,31/01/2019,2019,425,14.2 ,1.16 
DLCT010128172016,NA,19/09/2016,2015,1289,43.0 ,3.53 
DLCT010023412014,24/05/2017,17/09/2014,2015,980,32.7 ,2.68 
DLCT010016132018,NA,01/02/2018,2015,789,26.3 ,2.16 
DLCT010102672018,NA,07/08/2018,2019,602,20.1 ,1.65 
DLCT010037222018,NA,19/03/2018,2015,743,24.8 ,2.04 
DLCT010088972014,17/08/2015,07/04/2014,2020,497,16.6 ,1.36 
DLCT010142992016,NA,14/10/2016,2015,1264,42.1 ,3.46 
DLCT010075422017,NA,17/05/2017,2015,1049,35.0 ,2.87 
DLCT010068382013,11/12/2013,03/04/2013,2015,252,8.4 ,0.69 
DLCT010110492018,NA,25/08/2018,2015,584,19.5 ,1.60 
DLCT010008372015,07/06/2018,08/07/2015,2018,1065,35.5 ,2.92 
DLCT010010082013,18/05/2018,20/12/2013,2015,1610,53.7 ,4.41 
DLCT010010762018,NA,22/01/2018,2018,799,26.6 ,2.19 
DLCT010175982018,NA,24/12/2018,2015,463,15.4 ,1.27 
DLCT010091212013,27/08/2014,27/11/2013,2019,273,9.1 ,0.75 
DLCT010169312018,30/05/2019,14/12/2018,2020,167,5.6 ,0.46 
DLCT010112942018,NA,30/08/2018,2015,579,19.3 ,1.59 
DLCT010108152019,NA,08/08/2019,2015,236,7.9 ,0.65 
DLCT010046632018,04/04/2018,04/04/2018,2017,0,0.0 ,0.00 
DLCT010039272017,NA,09/03/2017,2017,1118,37.3 ,3.06 
DLCT010038702014,29/04/2014,24/02/2014,2017,64,2.1 ,0.18 
DLCT010041142015,NA,08/05/2015,2017,1789,59.6 ,4.90 
DLCT010167992019,NA,16/12/2019,2015,106,3.5 ,0.29 
DLCT010108122019,NA,08/08/2019,2015,236,7.9 ,0.65 
DLCT010078672018,NA,06/06/2018,2016,664,22.1 ,1.82 
DLCT010082582017,20/11/2019,27/05/2017,2020,907,30.2 ,2.48 
DLCT010003142014,28/02/2018,21/01/2014,2015,1499,50.0 ,4.11 
DLCT010013162015,NA,13/03/2015,2018,1845,61.5 ,5.05 
DLCT010086202018,NA,04/07/2018,2019,636,21.2 ,1.74 
DLCT010118992019,NA,02/09/2019,2015,211,7.0 ,0.58 
DLCT010146412019,NA,23/10/2019,2015,160,5.3 ,0.44 
DLCT010002842015,31/01/2018,08/12/2015,2015,785,26.2 ,2.15 
DLCT010085892013,04/06/2014,23/08/2013,2015,285,9.5 ,0.78 
DLCT010019132014,10/01/2017,15/04/2014,2014,1001,33.4 ,2.74 
DLCT010042722017,01/09/2018,17/03/2017,2019,533,17.8 ,1.46 
DLCT010011492016,NA,10/03/2016,2019,1482,49.4 ,4.06 
DLCT010097662017,06/07/2018,06/07/2017,2019,365,12.2 ,1.00 
DLCT010024312020,NA,18/02/2020,2019,42,1.4 ,0.12 
DLCT010123542016,NA,09/09/2016,2015,1299,43.3 ,3.56 
DLCT010124582017,15/11/2017,28/08/2017,2020,79,2.6 ,0.22 
DLCT010023532016,NA,12/04/2016,2015,1449,48.3 ,3.97 
DLCT010060042014,22/09/2014,29/01/2014,2014,236,7.9 ,0.65 
DLCT010006952015,NA,02/02/2015,2015,1884,62.8 ,5.16 
DLCT010074072013,24/01/2014,23/07/2013,2015,185,6.2 ,0.51 
DLCT010125342018,NA,26/09/2018,2019,552,18.4 ,1.51 
DLCT010106392017,21/07/2018,22/07/2017,2015,364,12.1 ,1.00 
DLCT010130572016,28/01/2020,22/09/2016,2016,1223,40.8 ,3.35 
DLCT010143732019,NA,19/10/2019,2015,164,5.5 ,0.45 
DLCT010046982019,NA,08/04/2019,2015,358,11.9 ,0.98 
DLCT010179292017,NA,25/11/2017,2018,857,28.6 ,2.35 
DLCT010017392014,18/08/2018,22/12/2014,2015,1335,44.5 ,3.66 
DLCT010155902018,NA,19/11/2018,2018,498,16.6 ,1.36 
DLCT010157902016,NA,10/11/2016,2018,1237,41.2 ,3.39 
DLCT010113032018,NA,30/08/2018,2015,579,19.3 ,1.59 
DLCT010011812015,01/10/2018,09/12/2015,2015,1027,34.2 ,2.81 
DLCT010096732013,17/01/2015,17/07/2013,2015,549,18.3 ,1.50 
DLCT010002992013,18/08/2017,04/09/2013,2018,1444,48.1 ,3.96 
DLCT010079632013,15/03/2014,24/07/2013,2015,234,7.8 ,0.64 
DLCT010158762016,NA,11/11/2016,2018,1236,41.2 ,3.39 
DLCT010042842019,NA,29/03/2019,2018,368,12.3 ,1.01 
DLCT010085592013,23/05/2014,06/12/2013,2016,168,5.6 ,0.46 
DLCT010038872015,NA,29/04/2015,2018,1798,59.9 ,4.93 
DLCT010046762015,NA,25/05/2015,2014,1772,59.1 ,4.85 
DLCT010012322014,06/08/2018,29/01/2014,2015,1650,55.0 ,4.52 
DLCT010050412018,NA,12/04/2018,2015,719,24.0 ,1.97 
DLCT010171762017,04/01/2018,17/11/2017,2018,48,1.6 ,0.13 
DLCT010003312014,NA,26/11/2014,2015,1952,65.1 ,5.35 
DLCT010009032019,NA,17/01/2019,2015,439,14.6 ,1.20 
DLCT010005672016,NA,10/06/2016,2015,1390,46.3 ,3.81 
DLCT010018712019,NA,07/02/2019,2019,418,13.9 ,1.15 
DLCT010102442018,NA,06/08/2018,2015,603,20.1 ,1.65 
DLCT010108842015,11/03/2016,23/11/2015,2015,109,3.6 ,0.30 
DLCT010018922018,NA,06/02/2018,2016,784,26.1 ,2.15 
DLCT010016922014,NA,16/10/2014,2016,1993,66.4 ,5.46 
DLCT010031712020,NA,05/03/2020,2015,26,0.9 ,0.07 
DLCT010038392018,NA,21/03/2018,2015,741,24.7 ,2.03 
DLCT010077872013,07/03/2014,29/04/2013,2015,312,10.4 ,0.85 
DLCT010110812016,NA,20/08/2016,2016,1319,44.0 ,3.61 
DLCT010002892018,NA,05/01/2018,2015,816,27.2 ,2.24 
DLCT010049012019,NA,11/04/2019,2018,355,11.8 ,0.97 
DLCT010070222017,NA,06/05/2017,2020,1060,35.3 ,2.90 
DLCT010025972015,03/06/2019,25/02/2015,2017,1559,52.0 ,4.27 
DLCT010007352015,NA,13/07/2015,2015,1723,57.4 ,4.72 
DLCT010011092020,NA,24/01/2020,2015,67,2.2 ,0.18 
DLCT010000282015,24/04/2019,22/08/2015,2015,1341,44.7 ,3.67 
DLCT010005792013,04/01/2019,28/11/2013,2015,1863,62.1 ,5.10 
DLCT010005942014,NA,20/10/2014,2019,1989,66.3 ,5.45 
DLCT010016432013,17/01/2020,27/04/2013,2015,2456,81.9 ,6.73 
DLCT010070902017,NA,19/05/2017,2016,1047,34.9 ,2.87 
DLCT010052902016,09/08/2017,19/02/2016,2018,537,17.9 ,1.47 
DLCT010102822017,24/01/2018,15/07/2017,2018,193,6.4 ,0.53 
DLCT010043602018,NA,28/03/2018,2015,734,24.5 ,2.01 
DLCT010018882015,05/07/2017,28/10/2015,2016,616,20.5 ,1.69 
DLCT010030522015,25/02/2020,31/01/2015,2015,1851,61.7 ,5.07 
DLCT010020142015,NA,30/01/2015,2019,1887,62.9 ,5.17 
DLCT010004542013,21/10/2019,22/11/2013,2018,2159,72.0 ,5.92 
DLCT010122852018,NA,20/09/2018,2019,558,18.6 ,1.53 
DLCT010007582019,NA,15/01/2019,2017,441,14.7 ,1.21 
DLCT010129682017,NA,05/09/2017,2019,938,31.3 ,2.57 
DLCT010012302020,NA,27/01/2020,2019,64,2.1 ,0.18 
DLCT010126032019,NA,16/09/2019,2020,197,6.6 ,0.54 
DLCT010089162013,31/07/2014,28/10/2013,2015,276,9.2 ,0.76 
DLCT010148872018,02/03/2020,03/11/2018,2015,485,16.2 ,1.33 
DLCT010093642013,31/10/2014,18/03/2013,2017,592,19.7 ,1.62 
DLCT010021962016,NA,04/03/2016,2020,1488,49.6 ,4.08 
DLCT010173112016,14/08/2019,05/12/2016,2019,982,32.7 ,2.69 
DLCT010092272017,NA,09/06/2017,2017,1026,34.2 ,2.81 
DLCT010099542016,15/02/2020,04/08/2016,2020,1290,43.0 ,3.53 
DLCT010074212018,NA,30/05/2018,2015,671,22.4 ,1.84 
DLCT010001712019,NA,05/01/2019,2016,451,15.0 ,1.24 
DLCT010049422018,NA,10/04/2018,2019,721,24.0 ,1.98 
DLCT010144192016,05/03/2019,17/10/2016,2018,869,29.0 ,2.38 
DLCT010007202014,15/04/2017,11/08/2014,2018,978,32.6 ,2.68 
DLCT010120482019,NA,04/09/2019,2019,209,7.0 ,0.57 
DLCT010058362016,NA,23/05/2016,2018,1408,46.9 ,3.86 
DLCT010091202013,22/08/2014,05/09/2013,2016,351,11.7 ,0.96 
DLCT010162052016,NA,18/11/2016,2016,1229,41.0 ,3.37 
DLCT010046712016,21/04/2018,01/03/2016,2016,781,26.0 ,2.14 
DLCT010167222017,06/03/2020,10/11/2017,2015,847,28.2 ,2.32 
DLCT010101472017,NA,13/07/2017,2017,992,33.1 ,2.72 
DLCT010022552019,NA,18/02/2019,2019,407,13.6 ,1.12 
DLCT010082592017,NA,27/05/2017,2015,1039,34.6 ,2.85 
DLCT010072032018,NA,26/05/2018,2015,675,22.5 ,1.85 
DLCT010043842016,NA,12/05/2016,2015,1419,47.3 ,3.89 
DLCT010004812013,08/08/2019,24/09/2013,2015,2144,71.5 ,5.87 
DLCT010103772013,31/08/2015,30/05/2013,2015,823,27.4 ,2.25 
DLCT010013362020,NA,29/01/2020,2018,62,2.1 ,0.17 
DLCT010111322019,NA,17/08/2019,2016,227,7.6 ,0.62 
DLCT010038142015,25/02/2020,09/01/2015,2016,1873,62.4 ,5.13 
DLCT010076432016,NA,01/07/2016,2016,1369,45.6 ,3.75 
DLCT010162032016,NA,18/11/2016,2016,1229,41.0 ,3.37 
DLCT010018132015,01/03/2018,04/04/2015,2019,1062,35.4 ,2.91 
DLCT010021462014,24/01/2018,31/05/2014,2019,1334,44.5 ,3.65 
DLCT010039992017,NA,10/03/2017,2019,1117,37.2 ,3.06 
DLCT010051262018,NA,13/04/2018,2015,718,23.9 ,1.97 
DLCT010060562019,NA,03/05/2019,2015,333,11.1 ,0.91 
DLCT010111172018,NA,27/08/2018,2016,582,19.4 ,1.59 
DLCT010053262016,NA,08/02/2016,2015,1513,50.4 ,4.15 
DLCT010103712014,22/12/2015,18/03/2014,2017,644,21.5 ,1.76 
DLCT010158362017,NA,27/10/2017,2017,886,29.5 ,2.43 
DLCT010012422019,NA,24/01/2019,2017,432,14.4 ,1.18 
DLCT010121862017,NA,22/08/2017,2017,952,31.7 ,2.61 
DLCT010012952015,09/08/2018,15/09/2015,2018,1059,35.3 ,2.90 
DLCT010017462014,10/09/2018,28/11/2014,2019,1382,46.1 ,3.79 
DLCT010013512015,NA,19/09/2015,2016,1655,55.2 ,4.53 
DLCT010050222015,NA,06/10/2015,2015,1638,54.6 ,4.49 
DLCT010098392018,NA,28/07/2018,2018,612,20.4 ,1.68 
DLCT010115342019,NA,28/08/2019,2015,216,7.2 ,0.59 
DLCT010103572017,NA,18/07/2017,2017,987,32.9 ,2.70 
DLCT010085602013,19/05/2014,21/11/2013,2015,179,6.0 ,0.49 
DLCT010002282014,11/05/2018,20/01/2015,2020,1207,40.2 ,3.31 
DLCT010113312015,30/04/2016,28/04/2015,2020,368,12.3 ,1.01 
DLCT010032272016,31/08/2019,07/04/2016,2019,1241,41.4 ,3.40 
DLCT010004902015,NA,07/09/2015,2019,1667,55.6 ,4.57 
DLCT010055322013,26/10/2013,29/07/2013,2019,89,3.0 ,0.24 
DLCT010001982017,NA,04/01/2017,2019,1182,39.4 ,3.24 
DLCT010008212013,04/05/2018,21/03/2013,2015,1870,62.3 ,5.12 
DLCT010022182015,27/04/2019,23/07/2015,2020,1374,45.8 ,3.76 
DLCT010011162014,17/11/2016,22/08/2014,2020,818,27.3 ,2.24 
DLCT010169362017,NA,14/11/2017,2018,868,28.9 ,2.38 
DLCT010025842019,23/08/2019,23/02/2019,2018,181,6.0 ,0.50 
DLCT010011072020,NA,24/01/2020,2016,67,2.2 ,0.18 
DLCT010136032019,NA,01/10/2019,2016,182,6.1 ,0.50 
DLCT010095492019,NA,18/07/2019,2017,257,8.6 ,0.70 
DLCT010041592015,21/05/2018,17/01/2015,2015,1220,40.7 ,3.34 
