cino,date_of_decision,dt_regis,reg_year_date,case_age_days,case_age_months,case_age_years
DLSH010061662018,NA,14/09/2018,2015,564,18.8 ,1.55 
DLSH010084242019,NA,23/12/2019,2016,99,3.3 ,0.27 
DLSH010046562019,NA,20/07/2019,2014,255,8.5 ,0.70 
DLSH010080162019,NA,10/12/2019,2015,112,3.7 ,0.31 
DLSH010003332017,NA,05/07/2016,2014,1365,45.5 ,3.74 
DLSH010055012019,25/11/2019,22/08/2019,2016,95,3.2 ,0.26 
DLSH010011702020,NA,06/02/2020,2016,54,1.8 ,0.15 
DLSH010073802017,NA,21/11/2017,2015,861,28.7 ,2.36 
DLSH010074402016,NA,08/11/2016,2015,1239,41.3 ,3.39 
DLSH010070152018,NA,18/10/2018,2015,530,17.7 ,1.45 
DLSH010022092020,NA,06/03/2020,2015,25,0.8 ,0.07 
DLSH010000342020,NA,06/01/2020,2015,85,2.8 ,0.23 
DLSH010083292019,NA,21/12/2019,2015,101,3.4 ,0.28 
DLSH010069962016,NA,15/10/2016,2016,1263,42.1 ,3.46 
DLSH010006872017,NA,30/01/2017,2016,1156,38.5 ,3.17 
DLSH010059732019,11/09/2019,09/09/2019,2016,2,0.1 ,0.01 
DLSH010001472020,NA,09/01/2020,2016,82,2.7 ,0.22 
DLSH010072462016,NA,27/10/2016,2017,1251,41.7 ,3.43 
DLSH010030862018,NA,05/05/2018,2014,696,23.2 ,1.91 
DLSH010072782018,NA,30/10/2018,2015,518,17.3 ,1.42 
DLSH010051492019,NA,06/08/2019,2015,238,7.9 ,0.65 
DLSH010081792018,NA,07/12/2018,2015,480,16.0 ,1.32 
DLSH010030112016,NA,29/04/2016,2014,1432,47.7 ,3.92 
DLSH010064822016,NA,22/09/2016,2014,1286,42.9 ,3.52 
DLSH010009852020,NA,30/01/2020,2016,61,2.0 ,0.17 
DLSH010034402017,NA,24/05/2017,2020,1042,34.7 ,2.85 
DLSH010001502016,NA,02/01/2016,2018,1550,51.7 ,4.25 
DLSH010061822019,NA,19/09/2019,2019,194,6.5 ,0.53 
DLSH010008972016,NA,02/02/2016,2015,1519,50.6 ,4.16 
DLSH010010912019,NA,16/02/2019,2015,409,13.6 ,1.12 
DLSH010083302018,NA,13/12/2018,2017,474,15.8 ,1.30 
DLSH010030572017,NA,09/05/2017,2017,1057,35.2 ,2.90 
DLSH010066992018,NA,04/10/2018,2017,544,18.1 ,1.49 
DLSH010010932018,NA,17/02/2018,2016,773,25.8 ,2.12 
DLSH010045612018,NA,11/07/2018,2019,629,21.0 ,1.72 
DLSH010084792018,NA,18/12/2018,2018,469,15.6 ,1.28 
DLSH010028392018,NA,26/04/2018,2015,705,23.5 ,1.93 
DLSH010056712016,NA,16/08/2016,2019,1323,44.1 ,3.62 
DLSH010015842019,NA,08/03/2019,2019,389,13.0 ,1.07 
DLSH010026422018,NA,19/04/2018,2013,712,23.7 ,1.95 
DLSH010047592017,NA,26/07/2017,2014,979,32.6 ,2.68 
DLSH010021482020,NA,04/03/2020,2016,27,0.9 ,0.07 
DLSH010029002018,NA,27/04/2018,2016,704,23.5 ,1.93 
