state_name,district_name,purpose,updated_purpose,total_hearings
Haryana,Rewari,Defence Evidence and Argument,Defence Evidence,224
Haryana,Rewari,Disposed,Judgement,129
Haryana,Rewari,Evidence,Other Evidence,1
Haryana,Rewari,Further Order,Miscellaneous Order,2
Haryana,Rewari,Judgements,Judgement,17
Haryana,Rewari,NOTICE,Miscellaneous,11
Haryana,Rewari,Order,Miscellaneous Order,42
Haryana,Rewari,Petitioner Evidence,Prosecution Evidence,9
Haryana,Rewari,Prosecution Evidence,Prosecution Evidence,1367
Haryana,Rewari,Revoked,Miscellaneous,9
Haryana,Rewari,Written Statement/ Reply,Miscellaneous,14
Haryana,Rohtak,313 Cr.Pc,Statement of Accused,160
Haryana,Rohtak,Appearance,Miscellaneous Appearance,281
Haryana,Rohtak,Arguments,Miscellaneous Arguments,33
Haryana,Rohtak,Charge,Charge,443
Haryana,Rohtak,Consideration,Miscellaneous,44
Haryana,Rohtak,Defence Evidence,Defence Evidence,433
Haryana,Rohtak,Defendant Evidence,Defence Evidence,4
Haryana,Rohtak,Disposed,Judgement,174
Haryana,Rohtak,Evidence,Other Evidence,16
Haryana,Rohtak,Final Hearing,Final Arguments,1
Haryana,Rohtak,FINAL ORDER,Judgement,112
Haryana,Rohtak,Further Order,Miscellaneous Order,27
Haryana,Rohtak,Prosecution Evidence,Prosecution Evidence,1510
Haryana,Rohtak,Reply,Miscellaneous,30
Haryana,Rohtak,Revoked,Miscellaneous,1
Haryana,Rohtak,STATEMENT OF PARTIES,Other Evidence,4
Haryana,Sirsa,313 Cr.Pc,Statement of Accused,172
Haryana,Sirsa,Appearance,Miscellaneous Appearance,235
Haryana,Sirsa,Arguments,Miscellaneous Arguments,105
Haryana,Sirsa,Charge,Charge,337
Haryana,Sirsa,Defence Evidence,Defence Evidence,679
Haryana,Sirsa,Defendant Evidence,Defence Evidence,5
Haryana,Sirsa,Disposed,Judgement,198
Haryana,Sirsa,Final Hearing,Final Arguments,2
Haryana,Sirsa,FINAL ORDER,Judgement,93
Haryana,Sirsa,Further Order,Miscellaneous Order,1
Haryana,Sirsa,Plantiff Evidence,Prosecution Evidence,3
Haryana,Sirsa,Prosecution Evidence,Prosecution Evidence,2362
Haryana,Sirsa,REPLY,Miscellaneous,4
Haryana,Sirsa,Revoked,Miscellaneous,2
Haryana,Sonepat,313 Cr.Pc,Statement of Accused,284
Haryana,Sonepat,Appearance,Miscellaneous Appearance,418
Haryana,Sonepat,Arguments,Miscellaneous Arguments,127
Haryana,Sonepat,Arguments on Quantum,Sentence,50
Haryana,Sonepat,Charge,Charge,448
Haryana,Sonepat,Consideration,Miscellaneous,33
Haryana,Sonepat,Defence Evidence,Defence Evidence,1163
Haryana,Sonepat,Defendant Evidence,Defence Evidence,2
Haryana,Sonepat,Disposed,Judgement,269
Haryana,Sonepat,Evidence,Other Evidence,15
Haryana,Sonepat,Final Hearing,Final Arguments,34
Haryana,Sonepat,Further Order,Miscellaneous Order,9
Haryana,Sonepat,Judgements,Judgement,36
Haryana,Sonepat,Order,Miscellaneous Order,13
Haryana,Sonepat,Plaintiff Evidence,Prosecution Evidence,5
Haryana,Sonepat,Prosecution Evidence,Prosecution Evidence,3414
Haryana,Sonepat,Reply,Miscellaneous,49
Haryana,Sonepat,Respondent Evidence,Defence Evidence,2
Haryana,Sonepat,Revoked,Miscellaneous,2
Haryana,Yamunanagar,313 Cr.Pc,Statement of Accused,87
Haryana,Yamunanagar,Appereance,Miscellaneous Appearance,81
Haryana,Yamunanagar,Arguments,Miscellaneous Arguments,76
Haryana,Yamunanagar,Charge,Charge,97
Haryana,Yamunanagar,CONSIDERATION,Miscellaneous,1
Haryana,Yamunanagar,Defence Evidence,Defence Evidence,593
Haryana,Yamunanagar,Disposed,Judgement,86
Haryana,Yamunanagar,Final Hearing,Final Arguments,2
Haryana,Yamunanagar,FINAL ORDER,Judgement,19
Haryana,Yamunanagar,Further Order,Miscellaneous Order,6
Haryana,Yamunanagar,Procecution Evidence,Prosecution Evidence,697
Haryana,Yamunanagar,REPLY,Miscellaneous,2
Haryana,Yamunanagar,Revoked,Miscellaneous,1
