state_name,district_name,est_code,court_name,reg_year,fil_year,decision_year,act_name_std,section_name_std,total_cases
Haryana,Sonepat,HRSO01,"District and Sessions Courts, Sonipat",2017,2017,2018,POCSO,18,1
Haryana,Sirsa,HRSIA1,"Criminal Courts, Dabwali",2018,2018,2018,IPC,451,2
Haryana,Gurugram,HRGR01,"District and Sessions Courts, Gurugram",2019,2019,2019,IPC,323,33
Haryana,Faridabad,HRFB03,"Criminal Courts, Faridabad",2019,2019,NA,POCSO,6,10
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2020,2020,NA,IPC,452,2
Assam,Golaghat,ASGL01,GLT_DJ_ESTT,2019,2019,2019,IPC,363,1
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2019,2019,NA,IPC,120 B,4
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2016,2013,2019,IPC,323,2
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2015,2015,2016,IPC,323,1
Haryana,Rewari,HRRE01,"District and Sessions Courts, Rewari",2018,2018,2020,IPC,354D,1
Haryana,Panipat,HRPP03,"Criminal Courts, Panipat",2015,2015,2016,IPC,363,1
Haryana,Bhiwani,HRBH01,"DISTRICT AND SESSIONS COURTS, BHIWANI",2020,2020,2020,IPC,354D,2
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2020,2019,NA,POCSO,12,1
Assam,Kamrup Metro,ASKM01,Dist Judge and Addl Dist Judges,2014,2014,2017,POCSO,12,1
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2017,2017,2017,IPC,506,32
Haryana,Rohtak,HRRH03,Criminal Courts Rohtak,2019,2019,2020,IPC,366 A,1
Haryana,Jhajjar,HRJR03,"Criminal Courts, Jhajjar",2014,2014,2016,POCSO,4,2
Assam,Kamrup Metro,ASKM01,Dist Judge and Addl Dist Judges,2015,2015,2016,IPC,354,1
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2020,2019,NA,IPC,323,1
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2020,2020,NA,POCSO,4,12
Assam,Dhubri,ASDU01,District and Sessions Judge,2018,2018,NA,IPC,376,6
Assam,Golaghat,ASGL01,GLT_DJ_ESTT,2015,2015,NA,POCSO,4,1
Haryana,Fatehabad,HRFT01,"District  and Sessions Courts, Fatehabad",2017,2017,2018,POCSO,12,3
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2019,2019,2019,IPC,366,24
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2016,2016,NA,IPC,354B,7
Haryana,Palwal,HRPL01,"District and Sessions Courts, Palwal",2018,2018,2019,IPC,354,3
Assam,Bongaigaon,ASBN06,Additional District and Sessions Judge,2017,2017,2018,IPC,365,1
Haryana,Karnal,HRKRA1,"Criminal Courts, Assandh",2018,2018,NA,IPC,506,1
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2016,2016,2019,IPC,342,1
Assam,Kamrup,ASKR01,District and Sessions Judge,2018,2018,2018,IPC,363,1
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2019,2019,2020,IPC,511,1
Delhi,South,DLST01,"District and Sessions Judge, South, Saket",2020,2019,NA,IPC,366,1
Haryana,Bhiwani,HRBH01,"DISTRICT AND SESSIONS COURTS, BHIWANI",2019,2019,NA,IPC,452,1
Assam,Udalguri,ASUA03,"District And Sessions Court, Udalguri",2016,2016,2019,POCSO,4,1
Assam,Nalbari,ASNL01,District and Sessions Judge,2020,2020,2020,IPC,376,1
Haryana,Panchkula,HRPK03,"Criminal Courts, Panchkula",2015,2015,2017,POCSO,12,1
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2017,2017,2019,IPC,366 A,1
Haryana,Panipat,HRPP01,"District and Sessions Courts, Panipat",2017,2017,2017,IPC,511,1
Assam,Kokrajhar,ASKK01,District and Sessions Judge,2018,2018,NA,IPC,366 A,5
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2020,2020,2020,IPC,354B,2
Haryana,Rohtak,HRRH01,District and Sessions Court Rohtak,2017,2017,2017,IPC,377,3
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2017,2017,2019,IPC,366 A,19
Haryana,Rohtak,HRRH03,Criminal Courts Rohtak,2016,2016,2016,IPC,354,3
Assam,Udalguri,ASUA03,"District And Sessions Court, Udalguri",2018,2018,NA,POCSO,4,1
Haryana,Sonepat,HRSO01,"District and Sessions Courts, Sonipat",2019,2019,2019,IPC,120 B,28
Haryana,Panchkula,HRPK03,"Criminal Courts, Panchkula",2016,2016,2017,IPC,346,1
Haryana,Palwal,HRPL03,"Criminal Courts, Palwal",2018,2018,NA,IPC,34 A,2
Haryana,Sonepat,HRSO01,"District and Sessions Courts, Sonipat",2018,2018,NA,IPC,376,5
Haryana,Jhajjar,HRJR03,"Criminal Courts, Jhajjar",2014,2014,2014,IPC,342,2
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2018,2018,2019,IPC,365,3
Assam,Golaghat,ASGL01,GLT_DJ_ESTT,2018,2018,2019,IPC,363,3
Assam,Sivasagar,ASSV01,District and Sessions Judge Establishment,2019,2019,2019,IPC,506,1
Assam,Cachar,ASCC01,District And Sessions Judge Court,2019,2019,2019,POCSO,4,6
Delhi,North East,DLNE01,"District and Sessions Judge, North-East, KKD",2017,2017,NA,IPC,377,1
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2016,2016,2016,IPC,354 A,6
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2016,2016,2016,IPC,376D,15
Assam,Sonitpur,ASSN07,Addl District and Sessions Judge,2017,2017,2019,POCSO,4,5
Haryana,Kurukshetra,HRKU01,"District  and Sessions Courts, Kurukshetra",2017,2017,2019,IPC,34 A,1
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2015,2015,2019,IPC,120 B,1
Haryana,Rohtak,HRRH01,District and Sessions Court Rohtak,2018,2018,2019,IPC,323,3
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2019,2019,2019,IPC,342,3
Haryana,Gurugram,HRGR01,"District and Sessions Courts, Gurugram",2019,2019,2019,IPC,366 A,81
Assam,Dhemaji,AS2201,District and Sessions Judge,2017,2017,2019,IPC,366 A,1
Haryana,Ambala,HRAM01,"District and Sessions Court, Ambala",2018,2018,NA,IPC,354,1
Assam,Jorhat,ASJR01,District and Sessions Judge,2018,2018,2019,IPC,363,1
Delhi,East,DLET01,"District and Sessions Judge, East, KKD",2017,2017,NA,POCSO,10,16
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2018,2018,2020,IPC,363,10
Assam,Lakhimpur,ASLK01,District and Sessions Judge,2020,2020,2020,IPC,366 A,1
Delhi,North East,DLNE01,"District and Sessions Judge, North-East, KKD",2016,2016,NA,IPC,370,2
Haryana,Jhajjar,HRJR03,"Criminal Courts, Jhajjar",2019,2019,2019,IPC,354,2
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2017,2017,2019,IPC,323,1
