state_name,district_name,est_code,court_name,reg_year,fil_year,decision_year,act_name_std,section_name_std,total_cases
Delhi,New Delhi,DLND01,"District and Sessions Judge, New Delhi, PHC",2016,2016,2017,IPC,354,3
Assam,Kamrup Metro,ASKM01,Dist Judge and Addl Dist Judges,2019,2019,2020,IPC,506,1
Assam,Sonitpur,ASSN01,District and Sessions Judge Sonitpur Tezpur,2014,2014,2015,IPC,341,1
Assam,Dhubri,ASDU01,District and Sessions Judge,2018,2018,2020,IPC,363,1
Assam,Kamrup Metro,ASKM01,Dist Judge and Addl Dist Judges,2015,2015,2015,POCSO,8,14
Assam,Karbi Anglong,ASKA01,District and Sessions Judge,2018,2018,2019,IPC,363,6
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2019,2019,2019,IPC,509,6
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2016,2015,NA,IPC,354,6
Haryana,Panipat,HRPP03,"Criminal Courts, Panipat",2019,2019,NA,POCSO,6,1
Haryana,Panchkula,HRPK03,"Criminal Courts, Panchkula",2014,2014,2015,POCSO,12,1
Haryana,Ambala,HRAMA1,"Criminal Courts, Naraingarh",2017,2017,2017,IPC,363,1
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2016,2014,2019,POCSO,4,2
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2018,2018,NA,IPC,366,33
Assam,Barpeta,ASBR01,District and Sessions Judge,2016,2016,2016,IPC,342,3
Assam,Kamrup,ASKR01,District and Sessions Judge,2015,2015,2018,POCSO,4,1
Haryana,Kaithal,HRKH01,"District and Sessions Courts, Kaithal",2017,2017,2017,IPC,365,5
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2016,2016,2016,IPC,344,2
Haryana,Fatehabad,HRFT03,"Criminal Courts, Fatehabad",2015,2015,2015,POCSO,4,4
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2016,2016,2019,IPC,323,1
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2015,2015,2015,IPC,344,1
Assam,Lakhimpur,ASLK01,District and Sessions Judge,2018,2018,NA,IPC,34 A,1
Assam,Nagaon,ASNG01,District and Sessions Judge,2016,2016,NA,POCSO,6,1
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2016,2016,NA,IPC,328,3
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2019,2019,2019,POCSO,6,48
Haryana,Gurugram,HRGR01,"District and Sessions Courts, Gurugram",2015,2015,2015,IPC,365,2
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2018,2018,NA,IPC,342,1
Assam,Kamrup Metro,ASKM01,Dist Judge and Addl Dist Judges,2018,2018,2020,POCSO,8,1
Delhi,East,DLET01,"District and Sessions Judge, East, KKD",2016,2015,NA,IPC,376(2),1
Haryana,Rohtak,HRRH01,District and Sessions Court Rohtak,2019,2018,2019,IPC,120 B,1
Assam,Chirang,ASCH04,Additional District and Sessions Judge,2018,2018,NA,POCSO,8,1
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2016,2016,2017,IPC,34 A,1
Haryana,Panipat,HRPPA1,"Criminal Courts, Samalkha",2019,2019,2019,IPC,366 A,1
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2018,2018,2020,POCSO,6,8
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2019,2019,2020,POCSO,12,1
Assam,Barpeta,ASBR01,District and Sessions Judge,2017,2017,2017,IPC,365,1
Haryana,Karnal,HRKRA1,"Criminal Courts, Assandh",2018,2018,NA,IPC,354 A,1
Delhi,New Delhi,DLND01,"District and Sessions Judge, New Delhi, PHC",2017,2017,2018,POCSO,8,2
Haryana,Gurugram,HRGR01,"District and Sessions Courts, Gurugram",2019,2019,NA,IPC,376,6
Haryana,Jind,HRJN03,"Criminal Courts, Jind",2018,2018,2018,IPC,363,14
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2019,2019,NA,POCSO,18,3
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2016,2016,2017,POCSO,8,5
Delhi,New Delhi,DLND01,"District and Sessions Judge, New Delhi, PHC",2019,2019,2019,POCSO,8,1
Haryana,Sirsa,HRSI03,"Criminal Courts, Sirsa",2014,2014,2014,IPC,120 B,1
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2017,2017,2018,IPC,363,1
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2018,2018,2019,IPC,365,5
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2018,2018,2019,POCSO,8,11
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2018,2018,2018,IPC,354D,1
Haryana,Kaithal,HRKH01,"District and Sessions Courts, Kaithal",2016,2016,2017,IPC,377,1
Assam,Golaghat,ASGL01,GLT_DJ_ESTT,2018,2018,NA,POCSO,4,12
Haryana,Jind,HRJN01,"District and Sessions Courts, Jind",2017,2017,NA,POCSO,12,1
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2016,2016,2016,POCSO,6,17
Haryana,Sirsa,HRSI03,"Criminal Courts, Sirsa",2015,2015,2015,POCSO,4,3
Haryana,Jind,HRJN01,"District and Sessions Courts, Jind",2014,2014,2014,POCSO,12,1
Assam,Dhubri,ASDU01,District and Sessions Judge,2019,2019,2019,IPC,365,1
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2019,2019,2020,IPC,341,2
Haryana,Panchkula,HRPK01,"DISTRICT AND  SESSIONS COURTS, PANCHKULA",2017,2017,NA,IPC,366,1
Assam,Kamrup,ASKR01,District and Sessions Judge,2017,2017,2017,IPC,120 B,3
Assam,Kamrup Metro,ASKM01,Dist Judge and Addl Dist Judges,2019,2019,NA,IPC,34 A,3
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2016,2016,2018,POCSO,4,3
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2017,2017,NA,IPC,342,15
Haryana,Sonepat,HRSO03,"Criminal Courts, Sonipat",2015,2015,2015,IPC,376D,2
Delhi,North East,DLNE01,"District and Sessions Judge, North-East, KKD",2015,2014,2019,IPC,365,1
Haryana,Jind,HRJN01,"District and Sessions Courts, Jind",2019,2019,2019,POCSO,6,101
Haryana,Rohtak,HRRH03,Criminal Courts Rohtak,2015,2015,2015,IPC,377,6
Delhi,East,DLET01,"District and Sessions Judge, East, KKD",2017,2017,NA,IPC,452,2
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2020,2020,NA,IPC,341,6
Haryana,Rewari,HRRE01,"District and Sessions Courts, Rewari",2018,2018,2018,POCSO,6,28
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2017,2017,2017,IPC,354B,1
Assam,Chirang,ASCH04,Additional District and Sessions Judge,2020,2020,2020,IPC,376,1
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2017,2017,2019,IPC,511,1
Assam,Lakhimpur,ASLK03,Chief Judicial Magistrate,2016,2016,2016,IPC,342,1
Assam,Chirang,ASCH04,Additional District and Sessions Judge,2018,2018,2018,POCSO,8,2
Haryana,Panipat,HRPP01,"District and Sessions Courts, Panipat",2019,2019,NA,POCSO,10,1
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2016,2016,NA,POCSO,6,44
Haryana,Bhiwani,HRBH01,"DISTRICT AND SESSIONS COURTS, BHIWANI",2020,2020,2020,IPC,363,12
Haryana,Ambala,HRAM03,"Criminal Courts, Ambala",2020,2020,2020,POCSO,4,1
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2018,2018,2019,IPC,342,2
Haryana,Faridabad,HRFB03,"Criminal Courts, Faridabad",2018,2018,2018,IPC,506,7
Haryana,Sonepat,HRSO01,"District and Sessions Courts, Sonipat",2018,2018,2019,IPC,365,3
Delhi,New Delhi,DLND01,"District and Sessions Judge, New Delhi, PHC",2018,2018,2018,IPC,342,1
Assam,Tinsukia,ASTN01,District and Sessions Judge,2019,2019,2019,IPC,376(3),1
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2017,2017,2018,IPC,376,5
Assam,Dhemaji,AS2202,Chief Judicial Magistrate,2016,2016,2017,IPC,376,2
Delhi,New Delhi,DLND01,"District and Sessions Judge, New Delhi, PHC",2019,2019,2019,IPC,34 A,2
Assam,Golaghat,ASGL01,GLT_DJ_ESTT,2019,2019,NA,IPC,341,2
Delhi,Shahdara,DLSH01,"District and Sessions Judge, Shahdara, KKD",2018,2018,NA,IPC,451,5
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2016,2014,2019,POCSO,---,38
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2018,2018,NA,IPC,328,9
Haryana,Panipat,HRPP03,"Criminal Courts, Panipat",2019,2019,2019,IPC,377,1
Assam,Sonitpur,ASSN07,Addl District and Sessions Judge,2018,2018,NA,IPC,511,1
Haryana,Ambala,HRAM03,"Criminal Courts, Ambala",2019,2019,2019,IPC,506,6
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2014,2014,2014,IPC,323,1
Haryana,Sirsa,HRSI03,"Criminal Courts, Sirsa",2016,2016,2016,IPC,366 A,3
Haryana,Jind,HRJNA0,"Criminal Courts, Narwana",2018,2018,2018,IPC,506,6
Delhi,Shahdara,DLSH01,"District and Sessions Judge, Shahdara, KKD",2019,2019,2020,IPC,342,1
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2019,2019,2019,IPC,120 B,14
Haryana,Faridabad,HRFB03,"Criminal Courts, Faridabad",2018,2018,2018,IPC,34 A,4
Delhi,South,DLST01,"District and Sessions Judge, South, Saket",2019,2019,NA,IPC,---,1
Assam,Darrang,ASDR01,District and Sessions Judge,2020,2020,NA,IPC,363,1
Delhi,South,DLST01,"District and Sessions Judge, South, Saket",2018,2018,NA,POCSO,6,52
Assam,Cachar,ASCC01,District And Sessions Judge Court,2018,2018,NA,POCSO,8,5
Assam,Kamrup,ASKR01,District and Sessions Judge,2019,2019,NA,IPC,420,1
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2017,2017,2018,IPC,328,1
Delhi,North East,DLNE01,"District and Sessions Judge, North-East, KKD",2016,2016,2020,POCSO,10,1
Haryana,Sirsa,HRSI03,"Criminal Courts, Sirsa",2014,2014,2014,IPC,328,1
Assam,Cachar,ASCC03,Chief Judicial Magistrate Court,2014,2014,2015,POCSO,4,1
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2016,2014,2020,IPC,323,1
Assam,Chirang,ASCH01,District And Session Judge Establishment,2017,2017,2018,IPC,420,1
Assam,Dhubri,ASDU01,District and Sessions Judge,2016,2016,2018,IPC,294,1
Haryana,Ambala,HRAM03,"Criminal Courts, Ambala",2018,2018,NA,IPC,341,1
Haryana,Jhajjar,HRJR03,"Criminal Courts, Jhajjar",2016,2016,2016,IPC,366 A,4
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2018,2018,NA,IPC,342,1
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2016,2014,2019,POCSO,6,3
Haryana,Jind,HRJN01,"District and Sessions Courts, Jind",2017,2017,2017,IPC,376(2),1
Haryana,Sonepat,HRSO03,"Criminal Courts, Sonipat",2016,2016,2016,IPC,506,5
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2020,2020,NA,POCSO,6,27
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2017,2017,2019,POCSO,6,5
Delhi,East,DLET01,"District and Sessions Judge, East, KKD",2019,2019,2020,IPC,34 A,1
Haryana,Yamunanagar,HRYN01,"District and Sessions Courts, Yamunanagar",2016,2016,2017,POCSO,4,1
Assam,Sonitpur,ASSN07,Addl District and Sessions Judge,2016,2016,NA,IPC,366 A,1
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2017,2017,NA,IPC,328,4
Haryana,Rohtak,HRRH01,District and Sessions Court Rohtak,2016,2016,2018,IPC,376D,1
Assam,Barpeta,ASBR01,District and Sessions Judge,2017,2017,2019,POCSO,4,13
Haryana,Kaithal,HRKH01,"District and Sessions Courts, Kaithal",2018,2018,2018,IPC,354 A,10
Haryana,Panchkula,HRPK01,"DISTRICT AND  SESSIONS COURTS, PANCHKULA",2019,2019,NA,IPC,420,1
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2016,2016,2019,IPC,506,8
Assam,Kamrup Metro,ASKM01,Dist Judge and Addl Dist Judges,2018,2018,NA,IPC,377,3
Haryana,Gurugram,HRGR01,"District and Sessions Courts, Gurugram",2016,2016,2016,IPC,366 A,10
Haryana,Kaithal,HRKH01,"District and Sessions Courts, Kaithal",2019,2019,NA,IPC,506,19
Haryana,Fatehabad,HRFT03,"Criminal Courts, Fatehabad",2017,2017,2020,POCSO,17,1
Delhi,Shahdara,DLSH01,"District and Sessions Judge, Shahdara, KKD",2018,2018,2020,IPC,363,2
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2019,2019,2020,IPC,363,4
Haryana,Rewari,HRRE01,"District and Sessions Courts, Rewari",2018,2018,NA,IPC,328,1
Haryana,Fatehabad,HRFT03,"Criminal Courts, Fatehabad",2017,2017,2017,POCSO,6,7
Haryana,Rewari,HRRE03,"Criminal Courts, Rewari",2017,2017,2018,POCSO,12,2
Assam,Kokrajhar,ASKK01,District and Sessions Judge,2018,2018,2020,POCSO,4,2
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2017,2017,2020,POCSO,8,1
Haryana,Rewari,HRRE03,"Criminal Courts, Rewari",2017,2017,2018,IPC,506,1
Delhi,East,DLET01,"District and Sessions Judge, East, KKD",2016,2015,NA,IPC,34 A,6
Assam,Hailakandi,ASHI03,Chief Judicial Magistrate,2019,2019,2019,POCSO,8,3
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2016,2015,NA,IPC,342,5
Haryana,Sirsa,HRSI03,"Criminal Courts, Sirsa",2014,2014,2014,IPC,376,4
Delhi,South,DLST01,"District and Sessions Judge, South, Saket",2017,2017,NA,IPC,354,14
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2014,2014,2014,IPC,354 A,1
Haryana,Rewari,HRRE01,"District and Sessions Courts, Rewari",2019,2019,NA,IPC,120 B,3
Haryana,Sirsa,HRSIA1,"Criminal Courts, Dabwali",2018,2018,2018,IPC,506,5
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2016,2016,NA,IPC,328,4
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2018,2018,2020,IPC,506,1
Assam,Sonitpur,ASSN07,Addl District and Sessions Judge,2020,2020,2020,IPC,376,1
Haryana,Ambala,HRAM01,"District and Sessions Court, Ambala",2018,2018,NA,IPC,376D,1
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2018,2018,2019,IPC,34 A,4
Haryana,Panipat,HRPP03,"Criminal Courts, Panipat",2016,2016,2017,POCSO,4,5
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2015,2015,2016,IPC,452,1
Haryana,Panipat,HRPP03,"Criminal Courts, Panipat",2015,2015,2015,IPC,376(2),1
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2019,2019,2020,POCSO,4,1
Assam,Golaghat,ASGL01,GLT_DJ_ESTT,2020,2020,NA,IPC,376(2)(i),1
Haryana,Sirsa,HRSIA1,"Criminal Courts, Dabwali",2018,2018,2018,IPC,354 A,2
Delhi,Shahdara,DLSH01,"District and Sessions Judge, Shahdara, KKD",2016,2016,NA,IPC,366,5
Assam,Barpeta,ASBR06,Sub-Divisional Judicial Magistrate (M),2013,0   ,2015,POCSO,4,1
Assam,Jorhat,ASJR01,District and Sessions Judge,2019,2019,2019,IPC,354,1
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2014,2014,2015,IPC,341,1
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2018,2018,2020,IPC,354 A,1
Haryana,Sirsa,HRSI03,"Criminal Courts, Sirsa",2017,2017,2017,IPC,451,3
Haryana,Narnaul,HRNR03,"Criminal Courts, Narnaul",2016,2016,2016,IPC,506,2
Haryana,Palwal,HRPL01,"District and Sessions Courts, Palwal",2019,2019,2019,IPC,450,1
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2017,2017,NA,POCSO,12,21
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2016,2016,2018,IPC,376,6
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2016,2016,2018,IPC,342,2
Haryana,Panipat,HRPP01,"District and Sessions Courts, Panipat",2018,2018,2019,IPC,365,1
Assam,Hailakandi,ASHI03,Chief Judicial Magistrate,2018,2018,2018,IPC,448,3
Assam,Sivasagar,ASSV01,District and Sessions Judge Establishment,2015,2015,2019,IPC,376,1
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2019,2018,NA,IPC,511,1
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2018,2018,2019,IPC,120 B,1
Haryana,Rohtak,HRRH01,District and Sessions Court Rohtak,2019,2019,NA,IPC,354D,6
Haryana,Jind,HRJNA0,"Criminal Courts, Narwana",2015,2015,NA,POCSO,8,1
Haryana,Panipat,HRPP01,"District and Sessions Courts, Panipat",2017,2017,2017,POCSO,8,11
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2017,2017,2018,IPC,366,2
Haryana,Panipat,HRPP03,"Criminal Courts, Panipat",2018,2018,2019,IPC,354 A,1
Haryana,Panipat,HRPP03,"Criminal Courts, Panipat",2015,2015,2015,IPC,452,2
Haryana,Panchkula,HRPK01,"DISTRICT AND  SESSIONS COURTS, PANCHKULA",2020,2020,2020,IPC,509,1
Assam,Tinsukia,ASTN06,SDJM,2013,0   ,2016,POCSO,8,1
Haryana,Kaithal,HRKH03,"Criminal Courts, Kaithal",2019,2019,NA,IPC,354 A,2
Haryana,Panipat,HRPP01,"District and Sessions Courts, Panipat",2014,2014,2014,IPC,377,3
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2016,2016,2019,POCSO,8,1
Assam,Bongaigaon,ASBN06,Additional District and Sessions Judge,2019,2019,NA,IPC,120 B,2
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2018,2018,2019,IPC,354,6
Haryana,Sirsa,HRSI03,"Criminal Courts, Sirsa",2018,2018,2018,IPC,328,2
Haryana,Fatehabad,HRFTA1,"Criminal Courts, Ratia",2015,2015,2015,IPC,506,1
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2017,2017,2018,IPC,452,6
Assam,Baksa,ASBK01,District and Sessions Judge,2020,2020,2020,POCSO,4,1
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2015,2015,2016,POCSO,12,2
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2020,2020,2020,IPC,323,1
Haryana,Bhiwani,HRBH01,"DISTRICT AND SESSIONS COURTS, BHIWANI",2020,2020,NA,IPC,366 A,12
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2018,2018,2019,IPC,354D,4
Haryana,Rewari,HRRE01,"District and Sessions Courts, Rewari",2018,2018,2018,IPC,366,3
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2018,2018,2019,IPC,363,11
Assam,Kamrup Metro,ASKM01,Dist Judge and Addl Dist Judges,2018,2018,2018,POCSO,8,30
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2015,2015,2017,IPC,341,1
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2019,2018,NA,POCSO,6,1
Haryana,Sirsa,HRSI03,"Criminal Courts, Sirsa",2020,2020,2020,POCSO,8,1
Delhi,South,DLST01,"District and Sessions Judge, South, Saket",2020,2019,NA,IPC,363,1
Assam,Kamrup Metro,ASKM01,Dist Judge and Addl Dist Judges,2020,2020,NA,IPC,376(2)(i),1
Assam,Cachar,ASCC01,District And Sessions Judge Court,2017,2017,NA,IPC,341,1
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2018,2018,2019,IPC,323,4
Haryana,Ambala,HRAM03,"Criminal Courts, Ambala",2018,2018,NA,POCSO,10,3
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2015,2015,2015,IPC,452,10
Haryana,Panipat,HRPP03,"Criminal Courts, Panipat",2017,2017,2018,IPC,323,1
Assam,Golaghat,ASGL01,GLT_DJ_ESTT,2015,2015,2018,IPC,366,3
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2018,2018,2019,POCSO,18,1
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2016,2016,2017,IPC,341,2
Haryana,Sirsa,HRSI03,"Criminal Courts, Sirsa",2016,2016,2016,IPC,452,1
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2019,2018,NA,IPC,363,4
Haryana,Kaithal,HRKH01,"District and Sessions Courts, Kaithal",2019,2019,2019,IPC,452,3
Haryana,Panchkula,HRPK01,"DISTRICT AND  SESSIONS COURTS, PANCHKULA",2018,2018,2018,POCSO,8,12
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2014,2014,2015,IPC,354 A,3
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2016,2014,2020,POCSO,6,1
Assam,Morigaon,ASMR01,"District and Sessions Judge,Morigaon",2018,2018,2019,POCSO,10,1
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2020,2020,NA,IPC,376,1
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2017,2017,2017,IPC,34 A,4
Assam,Kokrajhar,ASKK01,District and Sessions Judge,2018,2018,NA,POCSO,4,25
Haryana,Ambala,HRAM03,"Criminal Courts, Ambala",2017,2017,2018,IPC,34 A,1
Assam,Barpeta,ASBR01,District and Sessions Judge,2019,2019,NA,IPC,341,7
Haryana,Fatehabad,HRFT03,"Criminal Courts, Fatehabad",2019,2019,2019,POCSO,6,2
Haryana,Sonepat,HRSO01,"District and Sessions Courts, Sonipat",2017,2017,2018,IPC,342,3
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2015,2015,2016,IPC,452,1
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2016,2015,2019,IPC,354,1
Assam,Barpeta,ASBR01,District and Sessions Judge,2019,2010,NA,IPC,376,1
Haryana,Faridabad,HRFB01,"District and Sessions Courts, Faridabad",2015,2015,2015,IPC,346,4
Haryana,Sonepat,HRSOB1,"Criminal Courts, Gohana",2014,2014,2014,IPC,377,1
Haryana,Panipat,HRPP01,"District and Sessions Courts, Panipat",2019,2019,NA,IPC,450,2
Haryana,Yamunanagar,HRYNA1,"Criminal Courts, Bilaspur",2015,2015,2015,POCSO,4,2
Haryana,Fatehabad,HRFT01,"District  and Sessions Courts, Fatehabad",2019,2019,2019,POCSO,12,31
Assam,Lakhimpur,ASLK01,District and Sessions Judge,2019,2019,2019,IPC,354 A,1
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2019,2019,2020,IPC,354D,1
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2016,2014,NA,IPC,376,3
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2018,2018,2018,IPC,363,39
Assam,Kamrup Metro,ASKM01,Dist Judge and Addl Dist Judges,2017,2017,NA,IPC,342,1
Haryana,Panchkula,HRPK01,"DISTRICT AND  SESSIONS COURTS, PANCHKULA",2019,2019,2019,POCSO,18,3
Haryana,Gurugram,HRGR01,"District and Sessions Courts, Gurugram",2017,2017,2019,IPC,354D,1
Assam,Hailakandi,ASHI03,Chief Judicial Magistrate,2018,2018,2018,IPC,354,6
Assam,Kamrup Metro,AS0106,"Chief Judicial Magistrate,Kamrup",2014,0   ,2016,IPC,325,1
Assam,Sivasagar,ASSV01,District and Sessions Judge Establishment,2019,2019,NA,IPC,325,2
Haryana,Jind,HRJN01,"District and Sessions Courts, Jind",2015,2015,2015,IPC,363,1
Haryana,Palwal,HRPL01,"District and Sessions Courts, Palwal",2019,2019,NA,IPC,341,3
Assam,Kamrup Metro,ASKM01,Dist Judge and Addl Dist Judges,2018,2018,NA,IPC,376(2)(i),1
Haryana,Rohtak,HRRH03,Criminal Courts Rohtak,2016,2016,2016,IPC,120 B,3
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2017,2017,2019,IPC,342,5
Haryana,Sirsa,HRSI03,"Criminal Courts, Sirsa",2016,2016,2017,POCSO,12,2
Delhi,New Delhi,DLND01,"District and Sessions Judge, New Delhi, PHC",2019,2019,2020,IPC,376,1
Haryana,Ambala,HRAMA1,"Criminal Courts, Naraingarh",2017,2017,NA,POCSO,8,1
Haryana,Jind,HRJN01,"District and Sessions Courts, Jind",2014,2014,2014,IPC,354,2
Haryana,Panipat,HRPP01,"District and Sessions Courts, Panipat",2017,2017,2018,IPC,354 A,1
Assam,Nalbari,ASNL01,District and Sessions Judge,2015,2015,2019,IPC,376,1
Haryana,Fatehabad,HRFT03,"Criminal Courts, Fatehabad",2015,2015,2015,POCSO,8,7
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2016,2016,2020,IPC,354B,1
Haryana,Panchkula,HRPK01,"DISTRICT AND  SESSIONS COURTS, PANCHKULA",2018,2018,2018,IPC,376,6
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2017,2017,2019,POCSO,6,12
Assam,Karbi Anglong,ASKA01,District and Sessions Judge,2017,2017,NA,POCSO,4,5
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2016,2016,2016,IPC,34 A,1
Haryana,Palwal,HRPL03,"Criminal Courts, Palwal",2020,2020,2020,IPC,376D,2
Assam,Baksa,ASBK01,District and Sessions Judge,2018,2018,NA,IPC,34 A,8
Assam,Sonitpur,ASSN07,Addl District and Sessions Judge,2019,2019,2019,IPC,323,1
Assam,Dhemaji,AS2201,District and Sessions Judge,2015,2015,2019,IPC,366 A,1
Assam,Barpeta,ASBR01,District and Sessions Judge,2017,2017,2019,POCSO,8,1
Delhi,North East,DLNE01,"District and Sessions Judge, North-East, KKD",2017,2017,NA,IPC,354B,2
Delhi,West,DLWT01,"District and Sessions Judge, West, THC",2016,2016,NA,IPC,376,45
Haryana,Kaithal,HRKH01,"District and Sessions Courts, Kaithal",2019,2019,NA,POCSO,6,7
Assam,Cachar,ASCC01,District And Sessions Judge Court,2018,2018,2018,IPC,376,1
Haryana,Jhajjar,HRJR03,"Criminal Courts, Jhajjar",2014,2014,2014,IPC,363,4
Haryana,Bhiwani,HRBH01,"DISTRICT AND SESSIONS COURTS, BHIWANI",2019,2019,NA,POCSO,4,1
Haryana,Jind,HRJN03,"Criminal Courts, Jind",2019,2019,2019,IPC,366,1
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2016,2016,2018,IPC,377,2
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2019,2019,2019,IPC,365,1
Assam,Barpeta,ASBR01,District and Sessions Judge,2018,2018,NA,IPC,450,2
Haryana,Palwal,HRPL01,"District and Sessions Courts, Palwal",2020,2020,2020,IPC,323,3
Delhi,South,DLST01,"District and Sessions Judge, South, Saket",2019,2019,2019,IPC,354 A,2
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2020,2020,NA,IPC,506,12
Haryana,Fatehabad,HRFTA1,"Criminal Courts, Ratia",2015,2015,2016,IPC,506,1
Haryana,Ambala,HRAM01,"District and Sessions Court, Ambala",2014,2014,2015,IPC,506,5
Delhi,Shahdara,DLSH01,"District and Sessions Judge, Shahdara, KKD",2017,2017,2019,IPC,363,2
