state_name,district_name,fil_year,reg_year_date,total_cases,pending_cases,disposed_cases
Haryana,Bhiwani,2019,2019,18,13,5
Delhi,Central,2020,2020,32,32,0
Assam,Bongaigaon,2014,2015,1,1,0
Assam,Cachar,2018,2018,37,24,13
Haryana,Panipat,2016,2016,52,3,49
Delhi,North East,2017,2018,1,1,0
Assam,Barpeta,2016,2015,1,0,1
Assam,Hailakandi,2016,2016,1,0,1
Haryana,Jhajjar,2015,2015,43,1,42
Delhi,South,2015,2016,1,1,0
Haryana,Ambala,2014,2014,14,0,14
Assam,Goalpara,2017,2017,1,0,1
Assam,Golaghat,2020,2020,17,17,0
Assam,Kamrup,2017,2017,24,3,21
Haryana,Rohtak,2016,2016,46,1,45
Assam,Morigaon,2016,2016,29,11,18
Assam,Barpeta,2017,2018,1,0,1
Assam,Cachar,2016,2016,35,10,25
Assam,Kokrajhar,2018,2018,61,36,25
Assam,Nalbari,2014,2014,2,1,1
Assam,Nalbari,0   ,2015,1,0,1
Delhi,Central,2017,2018,1,1,0
Delhi,New Delhi,2013,2013,1,0,1
Assam,Dhemaji,0   ,2013,3,0,3
Haryana,Sonepat,2018,2018,72,12,60
Haryana,Jind,2019,2019,38,37,1
Assam,Kamrup,2015,2017,1,0,1
Delhi,East,2016,2016,69,68,1
Assam,Udalguri,2018,2018,37,7,30
Delhi,East,2013,2013,10,6,4
Haryana,Rewari,2016,2016,13,0,13
Delhi,North West,2014,2014,4,4,0
Delhi,North East,2020,2020,19,18,1
Assam,Baksa,2019,2019,61,56,5
Assam,Kokrajhar,2016,2016,9,3,6
Haryana,Ambala,2020,2020,13,13,0
Assam,Goalpara,2015,2015,1,0,1
Haryana,Faridabad,2020,2020,23,23,0
Delhi,Shahdara,2014,2014,22,9,13
Assam,Lakhimpur,2018,2018,14,6,8
Assam,Nalbari,2015,2015,10,6,4
Assam,Dibrugarh,2019,2019,1,1,0
Delhi,North,2018,2018,272,234,38
Assam,Lakhimpur,2013,2013,1,0,1
Delhi,South East,2020,2020,20,20,0
Haryana,Jhajjar,2014,2013,1,0,1
Haryana,Jind,2018,2018,85,40,45
Haryana,Sirsa,2015,2015,30,0,30
Assam,Kamrup,2016,2010,1,1,0
Assam,Karimganj,2018,2018,13,11,2
Assam,Kamrup Metro,2018,2018,90,79,11
Delhi,South West,2017,2017,192,109,83
Haryana,Panchkula,2015,2015,11,0,11
Assam,Hailakandi,2020,2020,11,11,0
Delhi,West,2019,2017,1,0,1
Assam,Dhemaji,0   ,2014,5,0,5
Delhi,South,2016,2016,93,80,13
Haryana,Fatehabad,2014,2014,1,0,1
Assam,Tinsukia,2017,2017,30,10,20
Haryana,Rewari,2015,2015,5,0,5
Assam,Barpeta,0   ,2015,6,0,6
Assam,Dima Hasao,2020,2020,6,6,0
Assam,Hailakandi,2019,2019,54,41,13
Assam,Lakhimpur,2017,2017,17,7,10
Assam,Tinsukia,2018,2017,1,0,1
Delhi,North East,2019,2019,193,160,33
Assam,Jorhat,2016,2016,9,0,9
Assam,Golaghat,2014,2015,1,1,0
Assam,Dhemaji,2019,2019,2,2,0
Delhi,South West,2019,2019,229,196,33
Assam,Baksa,2018,2015,2,0,2
Assam,Baksa,2020,2020,9,9,0
Haryana,Ambala,2017,2017,52,6,46
Assam,Tinsukia,2018,2018,61,45,16
Assam,Sonitpur,2019,2019,89,54,35
Haryana,Jind,2014,2014,11,0,11
Assam,Lakhimpur,2017,2019,1,1,0
Assam,Sivasagar,2016,2016,71,14,57
Assam,Sivasagar,2017,2016,1,0,1
Assam,Karbi Anglong,2019,2017,1,0,1
Delhi,Shahdara,2017,2016,1,1,0
Delhi,North,2014,2014,38,18,20
Assam,Dima Hasao,2018,2018,9,8,1
Haryana,Sonepat,2019,2019,76,57,19
Assam,Karimganj,2017,2017,5,2,3
Haryana,Jhajjar,2014,2014,22,0,22
Haryana,Kurukshetra,2018,2018,6,3,3
Haryana,Rewari,2018,2018,67,9,58
Assam,Nagaon,0   ,2013,1,0,1
Haryana,Kurukshetra,2019,2019,54,48,6
Assam,Nalbari,2020,2020,9,8,1
Delhi,South West,2020,2020,23,22,1
Assam,Sonitpur,2020,2020,19,11,8
Assam,Lakhimpur,2019,2019,49,20,29
Assam,Goalpara,2019,2019,66,56,10
Haryana,Jind,2015,2015,4,0,4
Assam,Kamrup,2017,2015,2,1,1
Assam,Nalbari,2018,2018,46,33,13
Assam,Kamrup,2020,2020,13,13,0
Assam,Kamrup,2016,2016,14,5,9
Assam,Morigaon,2017,2017,50,23,27
Assam,Darrang,2015,2015,4,0,4
Assam,Golaghat,2018,2018,51,19,32
Delhi,South West,2017,2016,1,1,0
Haryana,Faridabad,2018,2019,11,7,4
Delhi,South,2019,2018,3,3,0
Haryana,Gurugram,2017,2017,141,18,123
Assam,Udalguri,2017,2016,4,0,4
Haryana,Rohtak,2019,2019,51,46,5
Assam,Jorhat,0   ,2013,3,0,3
Assam,Kokrajhar,0   ,2014,3,0,3
