act_id,act_name,section_name,act_issue_flag
262,I.P.C.,326,0
264,SC/ST Act ,33,1
265,SC/ST Act ,89,1
266,I.P.C.,379,0
267,POCSO Act,11,0
268,Arms Act,25,0
269,Arms Act,54,1
270,Arms Act,59,1
271,I.P.C.,346,0
272,POCSO Act,10,0
274,POCSO Act,16,0
277,SC/ST Act ,3,1
278,SC/ST Act ,33,1
279,SC/ST Act ,89,1
280,I.P.C.,354 A(2),0
281,POCSO Act,7,0
282,I.P.C.,120,0
286,I.P.C.,354 A,0
287,I.P.C.,354 D,0
288,I.P.C.,211,0
290,I.P.C.,342,0
291,I.P.C.,376D,0
292,I.P.C.,380,0
293,POCSO Act,4,0
294,Information Technology Act,67,0
296,I.P.C.,307,0
298,I.P.C.,376 A,0
302,POCSO Act,17,0
303,I.P.C.,193,0
304,I.P.C.,195,0
307,I.P.C.,376 D,0
308,POCSO Act,3,0
310,I.P.C.,363/376 D,0
311,POCSO Act,17,0
314,SC/ST Act ,3(2),1
317,I.P.C.,354 A(2),0
320,I.P.C.,366 A,0
321,Motor Vehicles Act,192,0
322,Motor Vehicles Act,181,0
324,I.P.C.,45,0
325,I.P.C.,174 A,0
327,POCSO Act,15,0
328,I.P.C.,376 D,0
329,POCSO Act,6,0
330,POCSO Act,8,0
331,I.P.C.,376(2),0
332,POCSO Act,4,0
333,I.P.C.,376,0
335,I.P.C.,346,0
336,I.P.C.,366,0
337,I.P.C.,190,0
338,I.P.C.,354 B,0
339,I.P.C.,377,0
340,I.P.C.,511,0
341,I.P.C.,294,0
342,POCSO Act,10,0
344,POCSO Act,12,0
345,I.P.C.,328,0
346,I.P.C.,341,0
347,I.P.C.,354 D,0
348,I.P.C.,506/34,0
349,I.P.C.,354 A,0
350,I.P.C.,376 B,0
351,I.P.C.,376(2),0
353,POCSO Act,3,0
354,I.P.C.,325,0
355,I.P.C.,324,0
356,I.P.C.,451,0
357,I.P.C.,363/366 A,0
358,I.P.C.,302,0
359,I.P.C.,376 A,0
360,I.P.C.,148,0
361,I.P.C.,149,0
362,I.P.C.,368,0
363,I.P.C.,120,0
364,I.P.C.,354 A,0
365,I.P.C.,379,0
366,I.P.C.,120 B,0
367,POCSO Act,---,1
368,POCSO Act,18,0
369,POCSO Act,21,0
370,I.P.C.,376(3),0
371,Information Technology Act,67 A,0
375,"JJ Act, 2015",75,0
377,I.P.C.,384,0
378,I.P.C.,201,0
379,SC/ST Act ,3(2),1
380,I.P.C.,309,0
387,POCSO Act,14(2),0
388,"SC/ST Amendment Act, 2015",3(1)(e),0
389,"SC/ST Amendment Act, 2015",3(2)(va),0
390,Information Technology Act,66 A,0
391,Information Technology Act,66 E,0
392,Information Technology Act,67 B,0
394,I.P.C.,376 DA,0
395,I.P.C.,376 A,0
396,POCSO Act,6,0
397,I.P.C.,376 AB ,0
400,POCSO Act,12,0
402,I.P.C.,376(2)(1),0
403,I.P.C.,455,0
404,I.P.C.,344,0
405,I.P.C.,376 B,0
406,I.P.C.,120 B,0
407,I.P.C.,376/506,0
408,I.P.C.,363 A (1),0
409,I.P.C.,366 A,0
410,I.P.C.,366 A,0
414,I.P.C.,354 D,0
415,POCSO Act,12,0
416,I.P.C.,376 C,0
417,I.P.C.,341/506,0
418,I.P.C.,376 D,0
419,I.P.C.,42,0
420,I.P.C.,366 A,0
422,I.P.C.,354 A(1)(i),0
423,I.P.C.,D,1
424,I.P.C.,202,0
426,I.P.C.,427,0
432,I.P.C.,457,0
433,POCSO Act,16,0
434,POCSO Act,14,0
435,Information Technology Act,66 E,0
440,I.P.C.,376(2)(g),0
442,POCSO Act,17,0
443,I.P.C.,354/452,0
444,I.P.C.,509,0
446,I.P.C.,323/354 D,0
448,I.P.C.,506,0
450,I.P.C.,420,0
451,I.P.C.,467,0
452,I.P.C.,468,0
453,I.P.C.,471,0
458,POCSO Act,11,0
459,I.P.C.,376 AB,0
462,I.P.C.,364,0
465,I.P.C.,354 A(1),0
466,I.P.C.,376 D,0
468,I.P.C.,452/354 A,0
471,I.P.C.,354 D,0
473,I.P.C.,376/346,0
476,POCSO Act,7,0
477,I.P.C.,376(2)(n),0
479,I.P.C.,120B,0
480,I.P.C.,34,0
482,POCSO Act,9,0
483,I.P.C.,-3,1
485,SC/ST Act ,4,1
486,I.P.C.,411,0
488,I.P.C.,376(c),0
489,POCSO Act,9(a),0
490,POCSO Act,9(m),0
496,I.P.C.,354 A(1),0
497,I.P.C.,376 D,0
498,I.P.C.,366 A,0
500,I.P.C.,394,0
502,I.P.C.,3636,1
503,I.P.C.,376 D/506,0
504,I.P.C.,376(2)(n),0
509,I.P.C.,32,0
518,I.P.C.,305,0
521,I.P.C.,365,0
525,I.P.C.,354 A/506,0
528,POCSO Act,5,0
529,I.P.C.,452,0
530,I.P.C.,506,0
531,I.P.C.,312,0
532,POCSO Act,15,0
533,I.P.C.,376,0
534,I.P.C., 366 A,0
537,I.P.C.,354,0
538,I.P.C.,452,0
540,I.P.C.,504,0
542,I.P.C.,365,0
543,POCSO Act,12,0
544,"SC/ST Act, 1989",3(1)(xi),0
548,POCSO Act,11(ii),0
553,I.P.C.,323,0
554,I.P.C.,366A,0
555,I.P.C.,306,0
557,I.P.C.,201,0
561,I.P.C.,376(2)(f),0
565,I.P.C.,306,0
567,I.P.C.,506,0
572,POCSO Act,21(1),0
573,I.P.C.,506,0
574,I.P.C. & POCSO Act,354; 10,0
579,POCSO Act,11(iv),0
582,POCSO Act,20,0
586,I.P.C.,509,0
589,"JJ Act, 2015",77,0
593,I.P.C.,370(2),0
596,POCSO Act,363,0
598,Medical Termination of Pregnancy Act,3,0
599,Medical Termination of Pregnancy Act,45,1
600,POCSO Act,4,0
602,POCSO Act,4,0
603,I.P.C., 370(2),0
604,I.P.C., 370(3),0
605,I.P.C.,201,0
607,POCSO Act,14,0
608,POCSO Act,3A1,1
609,I.P.C.,354 A(1),0
612,"SC/ST Act, 1989",3(1)(xi)/3(1)(xii),0
613,POCSO Act,4,0
615,Medical Termination of Pregnancy Act,5,0
620,I.P.C.,109,0
623,I.P.C.,112,0
625,I.P.C.,114,0
628,I.P.C.,289,0
629,I.P.C.,326 A,0
633,POCSO Act,8,0
634,I.P.C., 366 A,0
635,I.P.C.,377,0
638,I.P.C.,341,0
639,I.P.C.,34,0
644,I.P.C.,376 D,0
647,"SC/ST Act, 1989",3(2)(v),0
648,I.P.C.,IPC,1
651,I.P.C.,120 B,0
653,"SC/ST Amendment Act, 2015",3(1)(w)(i),0
656,I.P.C.,450,0
657,POCSO Act,POCSOAct,1
658,SC/ST Act ,ATAct,1
660,SC/ST Act ,SC/ST,1
662,"SC/ST Act, 1989",3(2)(v),0
663,I.P.C.,366 A,0
664,POCSO Act,4,0
666,I.P.C.,376(2)(i),0
667,I.P.C.,376(2)(j),0
668,I.P.C.,376(2)(l),0
669,POCSO Act,6,0
672,POCSO Act,10,0
673,POCSO Act,4,0
674,I.P.C.,370 A,0
675,POCSO Act,5(e),0
678,I.P.C. & POCSO Act ,34; 4,0
679,I.P.C.,376 B,0
681,I.P.C.,353,0
682,I.P.C.,471,0
683,POCSO Act,32,1
684,I.P.C.,381,0
685,I.P.C.,354,0
688,I.P.C.,109,0
691,I.P.C. & SC/ST Act,506,0
692,I.P.C.,306,0
693,"SC/ST Act, 1989",3(2)(v),0
694,"SC/ST Amendment Act, 2015",3(1)(w),0
695,I.P.C.,342,0
696,I.P.C.,212,0
697,"SC/ST Act, 1989",3(2)(iv),0
698,I.P.C.,366,0
700,I.P.C.,147,0
701,POCSO Act,8,0
702,"SC/ST Amendment Act, 2015",3(1)(s),0
703,SC/ST Act ,(w),1
704,SC/ST Act ,(v),1
706,POCSO Act,POCSO,1
708,"SC/ST Act, 1989",3(2)(v),0
715,"SC/ST Amendment Act, 2015",3(1)(w),0
718,SC/ST Act ,392V,1
719,I.P.C.,451,0
720,I.P.C.,323,0
728,I.P.C.,354 D,0
731,I.P.C.,341,0
732,POCSO Act,6,0
734,I.P.C.,354 C,0
735,I.P.C.,452,0
739,I.P.C.,376(2)(1),0
740,I.P.C.,36,0
741,"SC/ST Amendment Act, 2015",3(1)(r),0
742,I.P.C.,376 D,0
745,POCSO Act,10,0
746,I.P.C.,411,0
750,POCSO Act,6/12,0
753,I.P.C.,323,0
754,I.P.C.,452,0
755,I.P.C.,365,0
756,I.P.C.,376,0
757,I.P.C.,511,0
759,POCSO Act,16,0
766,I.P.C.,498,0
767,I.P.C.,379 AB,1
768,I.P.C.,328,0
769,I.P.C.,506,0
773,SC/ST Act ,5,1
774,I.P.C.,116,0
775,I.P.C.,376,0
777,I.P.C. & POCSO Act,120 B;3/4,0
778,SC/ST Act ,3XII,1
779,I.P.C.,323,0
781,I.P.C.,354,0
782,I.P.C.,452,0
783,I.P.C.,506,0
784,POCSO Act,9/10,0
785,I.P.C. & POCSO Act,366 A; 4,0
786,I.P.C.,366,0
787,POCSO Act,10,0
789,I.P.C.,376(2)(f),0
790,I.P.C. & POCSO Act,506; 6,0
791,I.P.C.,366 A,0
792,I.P.C.,120 B,0
794,I.P.C.,120 B,0
795,POCSO Act,14,0
796,POCSO Act,15,0
799,POCSO Act,6,0
801,I.P.C.,54,0
803,I.P.C.,366,0
804,I.P.C.,342,0
806,I.P.C.,363,0
807,I.P.C.,366 A,0
808,SC/ST Act ,ST,1
