act_id,act_name,section_name,state_name,total_cases,total_judgements,total_orders
2185,Narcotic Drugs and Psychotropic Substances Act 1985,85,Delhi,1,0,0
2306,POCSO Act,---,Delhi,2,0,10
2415,I.P.C.,---,Delhi,519,91,2455
2419,POCSO Act,1011,Delhi,1,0,6
2463,POCSO Act,POCSO,Delhi,1,0,0
2541,Provincial Small Cause Court Act 1887,---,Delhi,1,0,7
2548,Cr. P. C.,---,Delhi,184,24,1980
2563,Hindu Marriage Act 1956,67,Delhi,1,0,0
2571,I.P.C.,-12363,Delhi,1,0,0
2572,I.P.C.,3765,Delhi,1,0,3
2573,I.P.C.,0.366,Delhi,1,0,0
2592,I.P.C.,3541,Delhi,2,1,11
2593,I.P.C.,3786,Delhi,1,0,0
2598,I.P.C.,3213,Delhi,1,0,0
2602,POCSO Act,---,Delhi,4,0,23
2608,I.P.C.,1098,Delhi,1,0,0
2610,I.P.C.,-2,Assam,2,1,0
2610,I.P.C.,-2,Delhi,2,0,5
2617,I.P.C.,3623,Delhi,1,0,4
2646,Hindu Minority and Guardianship Act 1956,---,Delhi,1,0,3
2649,POCSO Act,2,Delhi,1,0,0
2670,Provident Fund Insurance Act,---,Delhi,1,0,4
2671,I.P.C.,4561,Delhi,1,0,8
2684,I.P.C.,4652,Delhi,1,1,13
2697,I.P.C.,0,Delhi,2,0,0
2713,I.P.C.,(2,Delhi,1,0,0
2714,I.P.C.,)(F)(2),Delhi,1,0,0
2715,I.P.C.,(J)IPC,Delhi,1,0,0
2728,I.P.C.,i)IPC,Delhi,1,0,1
2736,I.P.C.,I,Delhi,2,0,3
2737,I.P.C.,F,Delhi,2,0,3
2738,I.P.C.,J,Delhi,1,0,0
2785,I.P.C.,N,Delhi,2,0,3
2804,SC/ST Act,STACT,Delhi,1,0,0
2831,Prize Chits and Money Circulation Schemes (Banning) Act,XI,Delhi,1,0,0
2875,I.P.C.,(N),Delhi,1,0,5
2876,I.P.C.,0,Delhi,3,0,0
2894,I.M.C. Act,---,Delhi,1,0,1
2908,POCSO Act,POCSOACT,Delhi,1,0,0
2926,POCSO Act,6(1)(N)POCSOACT,Delhi,1,0,3
2927,I.P.C.,K,Delhi,1,0,3
2928,I.P.C.,M,Delhi,1,0,3
2938,POCSO Act,R,Delhi,1,0,0
2964,I.P.C.,(f),Delhi,1,1,1
2978,I.P.C.,37A,Delhi,1,0,4
2983,I.P.C.,(f)& (i),Delhi,1,0,0
2995,I.P.C.,32B,Delhi,1,0,6
3011,POCSO Act,`,Delhi,1,0,0
3015,POCSO Act,J(ii),Delhi,1,0,0
3024,Cr. P. C.,POCSOACT,Delhi,1,0,0
3030,Factories Act,14,Delhi,1,0,2
3037,POCSO Act,---,Delhi,34,8,106
3043,SC/ST Act,1,Delhi,1,0,0
3044,SC/ST Act,S,Delhi,1,0,0
3050,"JJ Act, 2000",4,Delhi,1,0,21
3051,"JJ Act, 2000",5,Delhi,1,0,21
3202,I.P.C.,326B,Delhi,1,0,13
3208,I.P.C.,16B,Delhi,1,0,0
3249,I.P.C.,376F,Delhi,1,0,12
3253,I.P.C.,12,Delhi,1,0,0
3260,POCSO Act,---,Delhi,2,0,8
3300,Partition,---,Delhi,1,0,11
3306,I.P.C.,376(2)1,Delhi,1,0,3
3357,POCSO Act,---,Delhi,526,92,2554
3475,I.P.C.,2n,Delhi,1,0,4
3487,I.P.C.,541,Delhi,1,0,3
3527,I.P.C.,B,Delhi,1,0,0
3647,I.P.C.,0,Delhi,17,0,1
3665,Arms Act,---,Delhi,2,0,30
3666,POCSO Act,0,Delhi,1,0,0
3688,POCSO Act,0,Delhi,2,0,0
3699,Public Premises Act 1971,---,Delhi,1,0,3
3715,Child Labour (Prohibition and Regulation) Act,---,Delhi,2,0,8
3719,CMRA,---,Delhi,2,0,5
3788,I.P.C.,376I,Delhi,1,0,1
3792,PCMA,---,Delhi,1,0,10
3818,Hindu Marriage Act 1956,34,Delhi,1,0,4
3830,Madras Public Property Malversation Act 1837,---,Delhi,1,0,15
3840,POCSO Act,pocso,Assam,58,4,0
3841,POCSO Act,Act,Assam,25,1,0
3843,POCSO Act,POCSo,Assam,1,0,0
3864,POCSO Act,pocsoact,Assam,4,0,0
3867,POCSO Act,act,Assam,5,0,0
3869,POCSO Act,(i),Assam,1,0,0
3879,POCSO Act,POCSO,Assam,2,0,0
3880,POCSO Act,ACT,Assam,1,0,0
3887,POCSO Act,IPC,Assam,8,0,0
3893,POCSO Act,pocsoAct,Assam,2,1,0
3897,POCSO Act,pocseact,Assam,1,0,0
3901,POCSO Act,376(F),Assam,2,0,0
3920,POCSO Act,of,Assam,1,0,0
3928,POCSO Act,Pocso,Assam,1,0,0
3936,POCSO Act,2,Assam,1,0,0
3937,POCSO Act,i,Assam,1,0,0
3952,POCSO Act,5(4)pocsoact,Assam,1,0,0
3968,POCSO Act,NA,Assam,8,4,0
4006,POCSO Act,NIL,Assam,2,0,0
4007,POCSO Act,nil,Assam,3,0,0
4008,POCSO Act,376(f),Assam,1,0,0
4024,I.P.C.,i,Assam,1,0,0
4042,POCSO Act,nil,Assam,1,0,0
4125,PCMA,II,Assam,1,0,0
4144,POCSO Act,childlabour,Assam,1,0,0
4174,POCSO Act,II,Assam,1,0,0
4175,POCSO Act,IV,Assam,1,0,0
4208,I.P.C.,375(f),Assam,1,1,0
4247,POCSO Act,U,Assam,5,0,13
4289,POCSO Act,R,Assam,6,1,0
4348,I.P.C.,376(i)(l),Assam,1,0,0
4398,I.P.C.,(2)(1),Assam,1,1,0
4408,I.P.C.,35(D),Assam,1,0,0
4414,I.P.C.,36(A),Assam,1,1,0
4460,POCSO Act,376(2)(1),Assam,1,0,1
4473,POCSO Act,---,Assam,2,2,1
4474,POCSO Act,2(d),Assam,1,0,0
4489,I.P.C.,(F),Assam,1,0,0
4490,I.P.C.,(n),Assam,1,0,0
4511,POCSO Act,376(d)(i)R,Assam,1,0,0
4526,POCSO Act,376(2)(i),Assam,1,0,0
4558,POCSO Act,---,Assam,2,1,0
4567,POCSO Act,5(B)(iv),Assam,1,0,0
4569,I.P.C.,(B),Assam,1,0,0
4586,POCSO Act,---,Assam,2,1,0
4588,POCSO Act,376(2)(i),Assam,1,1,0
4593,POCSO Act,---,Assam,2,0,0
4597,POCSO Act,R,Assam,2,1,0
4610,I.P.C.,B),Assam,1,0,0
4616,POCSO Act,2,Assam,1,0,0
4617,POCSO Act,1,Assam,1,0,0
4622,POCSO Act,376(f),Assam,1,1,0
4624,POCSO Act,s(g),Assam,1,1,0
4636,POCSO Act,r,Assam,1,0,0
4639,POCSO Act,(m),Assam,1,1,0
4640,POCSO Act,376(2)(1),Assam,1,0,0
4642,POCSO Act,376(2)()1,Assam,1,1,0
4657,POCSO Act,---,Assam,2,0,0
4678,POCSO Act,2012,Assam,1,0,0
4707,I.P.C.,W,Assam,1,1,0
4722,POCSO Act,376(2)(i)IPC,Assam,1,0,0
4730,POCSO Act,R,Assam,2,0,0
4848,POCSO Act,2(d),Assam,1,0,0
4852,POCSO Act,R,Assam,1,0,0
4864,POCSO Act,376(F),Assam,1,0,0
4875,POCSO Act,2012,Assam,2,1,0
4892,I.P.C.,3776,Assam,1,1,0
4904,POCSO Act,RW,Assam,1,0,0
5576,POCSO Act,(m),Delhi,1,0,0
5577,POCSO Act,(n),Delhi,1,0,0
5911,I.P.C.,A,Delhi,1,0,0
6046,POCSO Act,POCSO Act,Haryana,1,0,8
6163,POCSO Act,A,Assam,1,0,0
691,I.P.C.,506IPCandSCSTAct,Haryana,1,0,8
1816,POCSO Act,313IPCandPOCSOAct.,Haryana,1,0,3
1946,POCSO Act,506IPCAndPOCSOAct,Haryana,1,0,2
2213,I.P.C.,354/POCSO,Delhi,1,0,0
2786,POCSO Act,L,Delhi,1,0,3
2787,POCSO Act,N POCSOACT,Delhi,1,0,3
2816,POCSO Act,POCSP,Delhi,1,0,0
2936,I.P.C.,354APOCSOACT,Delhi,1,0,3
2982,I.P.C.,POCSO,Delhi,1,0,6
